name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname,member5country,member5lastname,member5firstname
,open,men,0,23:54:46,,4380,141,AUS,Goerke,Damon,AUS,Preston,Rob,,,,,,,,,
,open,men,0,23:40:39,,4270,115,AUS,Walter,Rob,AUS,Cuthbert,Paul,,,,,,,,,
,open,mixed,0,23:33:10,,4130,31,NZL,Whitla,Georgia,NZL,Hamilton,Greig,,,,,,,,,
,veteran,mixed,0,23:42:19,,4060,2,AUS,Quinn,Julie,AUS,Baldwin,David,,,,,,,,,
,open,men,0,23:41:43,,3750,9,AUS,Williams,David,AUS,Taib,Ronnie,,,,,,,,,
,veteran,men,0,23:39:55,,3620,128,AUS,Morkel,Andre,AUS,Williams,Paul,,,,,,,,,
,veteran,men,0,23:45:04,,3550,132,AUS,Mackay,Joel,AUS,Black,Andrew,,,,,,,,,
,superveteran,men,0,23:43:03,,3480,69,AUS,van Geldermalsen,Ted,AUS,Morris,Derek,,,,,,,,,
,veteran,mixed,0,23:54:53,,3470,172,AUS,Haigh,Andrew,AUS,Haigh,Nicole,,,,,,,,,
,veteran,mixed,0,23:50:11,,3380,24,NZL,Smith,Andrew,NZL,Bachvarova,Toni,,,,,,,,,
,veteran,women,0,23:29:14,,3310,4,AUS,Barnes,Tamsin,AUS,Egerton,Thorlene,,,,,,,,,
,open,men,0,23:19:08,,3200,5,AUS,Guard,Paul,AUS,Scott,Tony,,,,,,,,,
,open,mixed,0,23:57:48,,3180,63,AUS,Sutherland,Gary,AUS,Mielke,Jody,AUS,Theoharis,Leo,,,,,,
,superveteran,men,0,23:36:32,,3150,156,AUS,Macqueen,Andy,AUS,Brown,Ian,,,,,,,,,
,open,women,0,23:42:47,,3130,110,AUS,Sprague,Susie,AUS,Hely,Sara,,,,,,,,,
,open,mixed,0,23:49:48,,3120,80,AUS,Lonergan,Clare,AUS,Macdonell,Kieran,,,,,,,,,
,open,men,0,23:11:10,,3030,43,AUS,Elby,Paul,AUS,Smith,Darren,,,,,,,,,
,ultraveteran,men,0,23:34:48,,3030,44,AUS,Sedunary,Vic,AUS,Trease,Merv,,,,,,,,,
,open,men,0,23:19:17,,3000,46,AUS,Morgan,Alex,AUS,Bebbington,Errol,,,,,,,,,
,open,men,0,23:52:13,,2970,159,AUS,Kurov,Sergey,AUS,Franzke,Ian,,,,,,,,,
