id;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
99;men;open;WILLIAMS;Paul;AUS;SYMONS;David;AUS;;;;;;;;;;23:53:26;4300;0;4300;
37;mixed;open;FOWLER;Gill;AUS;MACKAY;Joel;AUS;;;;;;;;;;23:59:39;4220;0;4220;
58;mixed;veteran;BALDWIN;David;AUS;QUINN;Julie;AUS;;;;;;;;;;23:45:05;4130;0;4130;
62;men;veteran;MORKEL;Andre;AUS;SIKMA;Tim;AUS;;;;;;;;;;23:50:28;4120;0;4120;
113;mixed;open;BURSILL;Jackson;AUS;NOBLE;Tess;AUS;;;;;;;;;;22:34:10;3520;0;3520;
82;men;veteran;SUTCLIFFE;Jonathan;AUS;BAKER;Andrew;AUS;;;;;;;;;;23:47:43;3430;0;3430;
29;men;superveteran;ROWLANDS;David;AUS;HOTCHKIS;Mike;AUS;;;;;;;;;;23:56:34;3420;0;3420;
32;men;ultraveteran;TREASE;Merv;AUS;SEDUNARY;Vic;AUS;;;;;;;;;;23:04:52;3360;0;3360;
78;men;open;LOUBSER;Michael;AUS;GREENWOOD;Ben;AUS;;;;;;;;;;23:27:58;3320;0;3320;
76;men;open;MONKS;Paul;AUS;O'CONNELL;Steven;AUS;;;;;;;;;;23:49:03;3300;0;3300;
25;mixed;superveteran;ROBINSON;Richard;AUS;PRINCE;Vivienne;NZL;;;;;;;;;;23:46:58;3030;0;3030;
23;men;open;GUARD;Paul;AUS;AYLOTT;Michael;AUS;MORRIS;Derek;AUS;;;;;;;23:36:21;2960;0;2960;
28;women;veteran;BARNES;Tamsin;AUS;MUSKER;Janet;AUS;;;;;;;;;;23:40:44;2840;0;2840;
46;mixed;superveteran;COLWELL;Evelyn;AUS;COLWELL;Craig;AUS;;;;;;;;;;23:42:29;2810;0;2810;
64;mixed;superveteran;DOUGLASS;Jean;AUS;SIMPSON;Ron;AUS;;;;;;;;;;23:45:46;2810;0;2810;
108;men;youth;MONTGOMERY;Nick;AUS;DOWSON;Joe;AUS;;;;;;;;;;23:50:36;2800;0;2800;
26;women;veteran;STAUDTE;Karen;AUS;VAUTIER;Tanya;AUS;;;;;;;;;;23:46:17;2630;0;2630;
21;mixed;veteran;THOMPSON;Linda;AUS;WEVERS;John;AUS;;;;;;;;;;23:43:56;2480;0;2480;
35;mixed;veteran;BERGER;Sue;AUS;DUNBAR;Michael;AUS;;;;;;;;;;23:32:24;2300;0;2300;
5;women;veteran;WENBAN;Judy;AUS;DAVIE;Serena;AUS;;;;;;;;;;19:50:28;2260;0;2260;
100;men;open;CRAGE;Bryce;AUS;MARTIN;Andrew;AUS;;;;;;;;;;23:41:11;2170;0;2170;
51;men;superveteran;MATTHEWS;Richard;AUS;CANDY;Russell;AUS;;;;;;;;;;23:24:43;2150;0;2150;
39;men;superveteran;OLIVER;Ron;AUS;MATTNER;Peter;AUS;;;;;;;;;;23:23:54;2110;0;2110;
20;women;superveteran;DANIS;Nihal;AUS;CLARKE;Sue;AUS;;;;;;;;;;23:25:42;2080;0;2080;
59;men;youth;KELLY;Adam;AUS;DUMAS;Nicholas;AUS;KELLY;James;AUS;;;;;;;23:52:21;2060;0;2060;
22;mixed;open;FONTAINE;Arielle;AUS;SCALZO;Tony;AUS;;;;;;;;;;23:04:35;2000;0;2000;
54;women;veteran;JOHNSTONE;Genevieve;AUS;GIFFORD;Emily;AUS;;;;;;;;;;23:49:22;1820;0;1820;
204;mixed;youth;DAVIE;Bo;AUS;GIBBONS;Jarin;AUS;;;;;;;;;;21:34:11;1790;0;1790;
