age,gender,penalty,time,score,status,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
open,men,0, 23:51:53,3880,,1,NZL,HAMILTON,Greig,NZL,FORNE,Chris,,,,,,
open,mixed,0, 23:53:16,3290,,2,AUS,BALDWIN,David,AUS,QUINN,Julie,AUS,FOWLER,Gill,,,
veteran,mixed,0, 23:49:30,2680,,3,NZL,WOOD,Phil,NZL,WEST,Ange,,,,,,
veteran,men,0, 23:50:33,2590,,4,NZL,HARDING,Mike,NZL,CLEARY,Peter,NZL,METHERELL,Alister,,,
superveteran,men,0, 23:42:25,2560,,5,NZL,DIXON,Colin,NZL,WOODS,Douglas,,,,,,
youth,men,0, 23:56:14,2550,,6,NZL,STURROCK,Nathan,NZL,SPENCER,Thomas,,,,,,
open,men,0, 23:12:13,2540,,7,NZL,MCDOWALL,Ben,NZL,THORN,Neville,,,,,,
open,mixed,0, 23:34:34,2420,,8,NZL,FARRANT,Stephanie,NZL,THURLOW,Greg,,,,,,
veteran,men,0, 23:30:27,2360,,9,AUS,BAKER,Andrew,AUS,HUMPHREY,Kevin,,,,,,
open,men,0, 23:41:20,2340,,10,AUS,GUARD,Paul,AUS,WILSON,Mark,,,,,,
superveteran,mixed,0, 23:29:29,2320,,11,NZL,De Lacey,Guy,NZL,De Lacey,Emma,,,,,,
veteran,mixed,230, 24:22:54,2310,,12,AUS,SMITH,Andrew,AUS,BACHVAROVA,Toni,,,,,,
youth,men,0, 23:49:33,2180,,13,NZL,MCKINNEL,Tiaan,NZL,MCCULLOCH,Samuel,NZL,MCKINNEL,Jonty,,,
veteran,women,0, 23:38:14,2130,,14,AUS,BARNES,Tamsin,NZL,MUSKER,Janet,,,,,,
open,men,0, 23:16:03,2120,,15,NZL,CLARK,Brendon,NZL,HAMILTON,Bryce,,,,,,
veteran,mixed,0, 23:49:07,2070,,16,NZL,WINDROSS,Annette,NZL,STRUTHERS,Mark,,,,,,
veteran,mixed,0, 23:03:02,2040,,17,NZL,SHERRIFF,Joe,NZL,KENNEDY,Sarah,,,,,,
superveteran,men,0, 23:41:32,2010,,18,AUS,HOTCHKIS,Mike,AUS,KELEMEN,Walter,,,,,,
open,men,0, 23:39:57,1970,,19,NZL,BARRETT,Andrew,NZL,HOSKING,Craig,,,,,,
superveteran,women,0, 23:35:45,1870,,20,NZL,MUELLER,Kathrin,NZL,ROGERS,Val,,,,,,
open,women,0, 23:33:04,1820,,21,NZL,HEAD,Anne-Marie,NZL,MCLENNAN,Clare,,,,,,
veteran,women,0, 23:47:46,1810,,22,NZL,ELLIOTT,Caroline,NZL,DIXON,Chris,,,,,,
superveteran,men,0, 23:41:58,1800,,23,NZL,REA,Simon,NZL,MORRISON,Derek,,,,,,
veteran,men,0, 22:46:36,1760,,24,NZL,LLOYD,Kelvin,NZL,BAKER,Rodney,,,,,,
open,mixed,0, 23:39:17,1760,,25,NZL,PERRIE,Leon,NZL,SHEPHERD,Lara,,,,,,
superveteran,men,0, 23:52:34,1650,,26,AUS,FIELD,Graham,AUS,DEARNLEY,Martin,,,,,,
veteran,mixed,0, 23:49:22,1640,,27,NZL,SLOW,Natalie,NZL,SLOW,Roger,,,,,,
open,men,0, 23:54:46,1640,,28,NZL,LUDGATE,Ben,NZL,PELVIN,Craig,,,,,,
ultraveteran,men,0, 23:29:41,1580,,29,AUS,SEDUNARY,Vic,AUS,BAKER,Don,,,,,,
veteran,men,0, 23:31:50,1580,,30,NZL,MERRIFIELD,Trevor,AUS,O'NEILL,Guy,,,,,,
youth,men,60, 24:05:46,1570,,31,NZL,SCOTT,Reuben,NZL,MCMILLIAN,Blake,,,,,,
superveteran,men,0, 23:23:28,1550,,32,NZL,POOCH,Vincent,NZL,JACKSON,Peter,,,,,,
veteran,mixed,0, 23:46:27,1540,,33,AUS,BEDINGFELD,Helen,AUS,AMOR,Steve,,,,,,
superveteran,men,0, 17:28:15,1510,,34,NZL,WOOD,Michael,NZL,BALFOUR,Gordon,,,,,,
veteran,women,0, 22:44:55,1480,,35,AUS,WISHART,Karen,AUS,POWELL,Joanne,,,,,,
superveteran,mixed,0, 23:07:56,1480,,36,AUS,HONEY,Stephen,AUS,HONEY,Martina,,,,,,
open,mixed,0, 23:22:47,1480,,37,AUS,CUTFIELD,Lisa,NZL,GRAEVE,Kerran,,,,,,
veteran,men,0, 23:25:08,1420,,38,AUS,GARDNER,Robin,NZL,SIKMA,Tim,,,,,,
veteran,women,0, 23:47:03,1400,,39,NZL,COTTAM,Yvette,NZL,WILSON,Janet,,,,,,
open,mixed,0, 19:44:45,1390,,40,NZL,PEAT,Martin,NZL,LINTOTT,Carey,,,,,,
youth,mixed,0, 22:16:43,1370,,41,AUS,MESSENGER,Max,AUS,MACLEOD,Fergus,AUS,PATTERSON-ROBERT,Alice,,,
superveteran,women,0, 23:22:25,1370,,42,AUS,CLARKE,Sue,AUS,DANIS,Nihal,,,,,,
ultraveteran,mixed,0, 23:53:55,1370,,43,AUS,MOCK,Colleen,AUS,MOCK,Colin,,,,,,
open,men,0, 22:49:07,1320,,44,NZL,WALKER,Sam,AUS,BRAND,Jack,AUS,MCCONNOCHIE,Craig,NZL,SIMPSON,George
superveteran,mixed,0, 21:07:20,1280,,45,NZL,SANDERSON,Annie,NZL,KERRISON,Max,,,,,,
veteran,men,0, 20:23:31,1250,,46,AUS,WILSON,Brett,AUS,MCCLELLAND,Terry,,,,,,
open,men,0, 23:44:59,1250,,47,NZL,MCKINNEL,John,NZL,MCKINNEL,Stacey,,,,,,
veteran,men,0, 21:12:46,1240,,48,NZL,KRAIGER,Todd,NZL,WARD,David,,,,,,
open,mixed,0, 23:48:46,1230,,49,AUS,GORDON,Ian,AUS,GORDON,Anna,,,,,,
open,mixed,0, 22:29:26,1200,,50,AUS,ROWLANDS,David,AUS,ROWLANDS,Stephanie,,,,,,
youth,women,0, 23:12:30,880,,51,NZL,DIXON,Ruby,NZL,ELLIOTT,Molly,NZL,DIXON,Tessa,,,
veteran,men,0, 23:57:58,730,,52,AUS,HARRIS,Brendan,AUS,DANN,John,,,,,,
open,mixed,0, 20:27:53,720,,53,NZL,MILNE,Monique,NZL,ROBERTSON,James,,,,,,
open,men,0,0,1100,withdrawn,54,NZL,MANNING,Patrick,NZL,ADAIR,Mike,,,,,,
