id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4lastname,member4firstname
40,men,open,23:51:10,3210,0,,AUS,David,Symons,AUS,,Paul,Williams,,,,,,
19,mixed,open,23:59:22,3170,0,,AUS,David,Baldwin,AUS,,Julie,Quinn,AUS,Jackson,Bursill,,,
74,men,open,23:29:33,3130,0,,NZL,Greig,Hamilton,AUS,,Bevan,Koopman,,,,,,
44,men,open,23:58:06,3100,0,,NZL,Matt,Bixley,NZL,,Tim,Farrant,,,,,,
38,mixed,open,23:02:43,2750,0,,AUS,Gill,Fowler,AUS,,Joel,Mackay,,,,,,
50,men,open,23:29:29,2740,0,,AUS,Paul,Elby,AUS,,Ben,Greenwood,,,,,,
73,mixed,open,23:40:37,2660,0,,AUS,Fergus,Macleod,AUS,,Emily,Rowbotham,,,,,,
11,men,veteran,23:56:10,2610,0,,AUS,Jonathan,Sutcliffe,AUS,,Andrew,Baker,,,,,,
42,men,open,23:24:37,2490,0,,AUS,Ronnie,Taib,AUS,,David,Williams,,,,,,
72,men,superveteran,23:36:50,2470,0,,AUS,Gary,Carroll,AUS,,Bernard,Walker,,,,,,
22,mixed,veteran,23:46:18,2450,0,,AUS,Andrew,Smith,AUS,,Antoniya,Bachvarova,,,,,,
60,men,open,23:19:30,2410,0,,NZL,Errol,Bebbington,NZL,,Matt,Bebbington,,,,,,
106,men,youth,23:54:39,2400,0,,AUS,Anthony,Ricci,AUS,,Ben,Rada Martin,AUS,Isaac,Bell,AUS,Oliver,Lilford
64,men,veteran,22:41:53,2390,0,,AUS,Chris,White,AUS,,Rob,Miller,,,,,,
17,women,veteran,23:29:27,2370,0,,AUS,Tamsin,Barnes,AUS,,Thor,Egerton,,,,,,
33,men,open,23:41:38,2330,0,,AUS,Dan,Mclachlan,AUS,,Alison,Mclachlan,,,,,,
3,men,veteran,23:38:55,2290,0,,AUS,Craig,Keeling,AUS,,Lee,Taylor,,,,,,
103,men,veteran,22:38:05,2270,0,,AUS,Rodney,Gray,AUS,,Geoff,Lawford,AUS,Brett,Wilson,AUS,David,Rowlands
27,men,ultraveteran,23:06:37,2260,0,,AUS,Andy,Macqueen,AUS,,Greg,King,,,,,,
68,men,open,23:52:54,2260,0,,AUS,Ben,Thomas,AUS,,Tony,Bowman,,,,,,
85,men,veteran,20:49:39,2240,0,,AUS,Dave,Schloss,AUS,,Grant,Edwards,,,,,,
7,men,ultraveteran,23:45:39,2190,0,,AUS,Merv,Trease,AUS,,Vic,Sedunary,,,,,,
76,men,open,23:14:01,2130,0,,AUS,Tony,Scott,AUS,,Adam,Power,AUS,Paul,Maxwell,,,
28,mixed,superveteran,23:30:45,2130,0,,AUS,Craig,Colwell,AUS,,Evelyn,Colwell,,,,,,
9,men,open,14:55:01,2070,0,,AUS,Thor,Harrison,AUS,,Oskar,Booth,,,,,,
18,men,superveteran,23:57:01,2070,0,,AUS,Peter,Cleary,NZL,,Mike,Harding,,,,,,
53,men,ultraveteran,23:09:53,2040,0,,AUS,Ian,Herbert,AUS,,Derek,Morris,,,,,,
8,men,open,22:44:50,2020,0,,AUS,Paddy,Meldrum,NZL,,Duncan,Jessep,,,,,,
55,women,open,22:52:57,2020,0,,AUS,Tess,Noble,AUS,,Amelia,Noble,,,,,,
36,men,youth,23:10:43,1970,0,,AUS,Jonathan,Fearn,AUS,,Ciaran,Lane,,,,,,
30,men,superveteran,21:10:35,1930,0,,AUS,Mike,Hotchkis,AUS,,Neil,Hawthorne,,,,,,
69,mixed,veteran,23:57:28,1930,0,,NZL,Mark,Struthers,NZL,,Annette,Windross,NZL,Dennis,Litt,,,
5,men,open,22:38:09,1870,0,,AUS,Tristan,White,AUS,,Mitchell,Lindbeck,,,,,,
29,women,superveteran,23:17:19,1830,0,,AUS,Christine,Brown,AUS,,Karen,Pedley,,,,,,
59,men,superveteran,23:44:47,1790,0,,AUS,Mike,Broadbent,AUS,,Jon,Smith,,,,,,
