name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
,veteran,mixed,0,23:39:00,,3420,1,AUS,Quinn,Julie,AUS,Baldwin,David,,,,,,
,veteran,men,0,23:52:00,,3250,2,AUS,Williams,Paul,AUS,Symons,David,,,,,,
,veteran,men,0,23:23:00,,3210,3,AUS,Morkel,Andre,NZL,Sikma,Tim,,,,,,
,open,men,0,23:53:00,,3180,4,AUS,White,Tristan,AUS,Hotchkis,Mike,,,,,,
,open,mixed,0,23:53:00,,3030,5,AUS,Dornom,Bernadette,AUS,McLachlan,Alison,AUS,Stodart,Hugh,,,
,open,men,0,23:48:00,,2970,6,AUS,Williams,David,AUS,Taib,Ronnie,,,,,,
,open,women,0,23:39:00,,2950,7,AUS,Fowler,Gill,AUS,Sinclair,Joanna,,,,,,
,veteran,mixed,0,23:49:00,,2800,8,AUS,Smith,Andrew,AUS,Bachvarova,Toni,,,,,,
,veteran,men,0,23:52:00,,2750,9,AUS,Mackay,Joel,AUS,Black,Andrew,,,,,,
,superveteran,men,0,23:52:00,,2730,10,AUS,Macqueen,Andy,AUS,Brown,Ian,,,,,,
,veteran,men,50,24:04:00,,2680,11,AUS,Guard,Paul,AUS,Scott,Tony,,,,,,
,open,mixed,0,22:51:00,,2550,12,AUS,Jolly,Jackson,AUS,Brazier,Tom,AUS,Rowbotham,Emily,,,
,veteran,mixed,0,22:44:00,,2540,13,AUS,Stringer,Russell,AUS,Sutherland,Gary,AUS,Perry,Christine,,,
,veteran,women,0,23:34:00,,2540,14,AUS,Egerton,Thorlene,AUS,Musker,Janet,,,,,,
,superveteran,men,0,23:46:00,,2480,15,AUS,Gray,Rod,AUS,Lawford,Geoff,AUS,Rowlands,David,,,
,veteran,men,0,23:54:00,,2480,16,AUS,Sutcliffe,Jonathan,AUS,Baker,Andrew,,,,,,
,superveteran,men,0,23:50:00,,2430,17,AUS,Smith,Darryl,AUS,Cole,David,,,,,,
,veteran,mixed,0,23:26:00,,2400,18,AUS,Robinson,Richard,AUS,Barnes,Tamsin,,,,,,
,ultraveteran,men,0,23:35:00,,2290,19,AUS,Trease,Mervyn,AUS,Sedunary,Victor,,,,,,
,veteran,men,0,23:35:00,,2250,20,AUS,Corry,Richard,AUS,Horne,James,,,,,,
,ultraveteran,men,0,23:44:00,,2200,21,AUS,Elson,Bert,AUS,Hoopmann,Paul,,,,,,
,ultraveteran,men,0,23:55:00,,2160,22,AUS,Herbert,Ian,AUS,Morris,Derek,,,,,,
,veteran,men,0,23:58:00,,2130,23,AUS,Hood,Allan,AUS,Liggins,Paul,,,,,,
,superveteran,women,0,23:41:00,,2120,24,AUS,Brown,Christine,AUS,Pedley,Karen,,,,,,
,open,mixed,0,22:43:00,,2050,25,AUS,Cirulis,Ben,AUS,Bambrook,Shelley,,,,,,
,veteran,men,0,23:35:00,,2050,26,AUS,Collins,Dave,AUS,Murray,Mark,,,,,,
,ultraveteran,mixed,0,23:51:00,,2020,27,AUS,Douglass,Jean,AUS,Simpson,Ron,,,,,,
,veteran,mixed,0,23:20:00,,1990,28,AUS,McComb,Cathy,AUS,McComb,Jonathan,,,,,,
,veteran,men,0,23:54:00,,1960,29,AUS,Panek,Daniel,AUS,Fitzgerald,Nic,,,,,,
,veteran,men,0,23:03:00,,1930,30,AUS,Power,Adam,AUS,Maxwell,Paul,,,,,,
,superveteran,mixed,0,23:49:00,,1880,31,AUS,Brown,Toni,AUS,Poland,David,,,,,,
,open,women,0,22:34:00,,1870,32,AUS,Wild-Allen,Karen,AUS,Allen,Rachel,,,,,,
,veteran,men,0,23:45:00,,1850,33,AUS,Johnston,Andrew,AUS,Capel,Stuart,,,,,,
,veteran,mixed,0,23:51:00,,1820,34,AUS,Thomas,Sandra,AUS,Harding,Phillip,,,,,,
,veteran,mixed,0,19:22:00,,1810,35,AUS,Mclean,Ken,AUS,McLean,Prue,,,,,,
,superveteran,men,0,23:22:00,,1810,36,AUS,Smith,Jon,AUS,Broadbent,Mike,,,,,,
,veteran,women,0,23:47:00,,1770,37,AUS,Colwell,Evelyn,AUS,Powell,Jo,,,,,,
,veteran,mixed,0,23:49:00,,1760,38,AUS,Barlow,Carey,AUS,Humphries,Kevin,,,,,,
,veteran,women,0,23:31:00,,1750,39,AUS,Hawthorne,Clare,AUS,Allison,Belinda,AUS,Bluett,Tracy,,,
,superveteran,mixed,0,23:19:00,,1720,40,AUS,Cossar-Burgess,Diana,AUS,Burgess,Sebastian,,,,,,
,superveteran,men,0,23:18:00,,1700,41,AUS,Etherington,Martin,NZL,Merrifield,Trevor,,,,,,
,veteran,women,0,23:02:00,,1660,42,AUS,Muir,Lesa,AUS,Pfeiffer,Tomie,,,,,,
,superveteran,men,0,23:40:00,,1660,43,AUS,Gillott,Doug,AUS,Denyer,Andrew,,,,,,
,superveteran,women,0,23:35:00,,1610,44,AUS,Canning,Liz,AUS,Robinson,Helen,,,,,,
,open,mixed,0,23:45:00,,1610,45,AUS,Loveridge,David,AUS,Morgan,Marjorie,,,,,,
,veteran,men,0,20:47:00,,1600,46,AUS,Beard,Adrian,AUS,Wilson,Matt,,,,,,
,open,mixed,0,23:43:00,,1600,47,AUS,Stiberc,Nikita,AUS,Hawthorne,Thomas,,,,,,
,open,mixed,0,23:35:00,,1590,48,AUS,Roper,Ellise,AUS,Williams,Henry,,,,,,
,veteran,mixed,0,23:21:00,,1580,49,AUS,Sargent,Phil,AUS,Spinks,Toni,,,,,,
,superveteran,men,0,23:49:00,,1570,50,AUS,Cameron,Ian,AUS,Lyle,David,,,,,,
,ultraveteran,mixed,0,23:17:00,,1550,51,AUS,Clarke,Sue,AUS,Kelemen,Walter,,,,,,
,veteran,mixed,0,23:24:00,,1550,52,AUS,de Laat,Melody,AUS,Bourke,Allan,,,,,,
,veteran,mixed,0,23:36:00,,1510,53,AUS,Berger,Sue,AUS,Dunbar,Michael,,,,,,
,ultraveteran,men,0,23:32:00,,1500,54,AUS,Hawthorne,Greg,AUS,Marshall,David,,,,,,
,superveteran,men,0,23:51:00,,1490,55,AUS,Lombardi,Franco,AUS,Madill,Ken,AUS,Brooks,Peter,,,
,veteran,mixed,0,23:36:00,,1480,56,AUS,Down,James,AUS,Cole,Karen,,,,,,
,open,mixed,0,22:28:00,,1460,57,AUS,Hough,Nigel,AUS,Hancox,Leela,,,,,,
,ultraveteran,mixed,0,23:19:00,,1450,58,NZL,Kennedy,Anne,NZL,Squires,Peter,,,,,,
,veteran,men,0,23:21:00,,1440,59,AUS,Parker,Ian,AUS,Ranson,Brent,,,,,,
,superveteran,mixed,0,23:32:00,,1430,60,AUS,Cook,Marg,AUS,Cook,Rob,AUS,Dearnley,Martin,,,
,open,mixed,0,23:12:00,,1410,61,AUS,Hilsenstein,Joschka,AUS,Schultz,Madeleine,,,,,,
,veteran,mixed,0,22:47:00,,1370,62,AUS,Austin,Meisha,AUS,Cooper,Michael,,,,,,
,ultraveteran,men,0,22:40:00,,1360,63,AUS,Tucker,Robert,AUS,Milnes,Peter,,,,,,
,superveteran,mixed,0,22:47:00,,1350,64,AUS,Sage,Richard,AUS,Danis,Nihal,AUS,Pitot,Dom,,,
,open,mixed,0,18:29:00,,1290,65,AUS,Watts,Patrick,AUS,Forsyth,Laura,,,,,,
,open,mixed,0,22:18:00,,1290,66,AUS,Lucas,Daniel,AUS,Case,Tegan,,,,,,
,veteran,men,0,22:44:00,,1200,67,AUS,Plummer,Edward,AUS,Matthews,Richard,,,,,,
,superveteran,men,0,23:44:00,,1170,68,AUS,Chettle,Wayne,AUS,McCloud,Greg,,,,,,
,ultraveteran,women,0,23:53:00,,1150,69,AUS,Tuft,Robyn,AUS,Kurrle,Susan,,,,,,
,open,mixed,0,22:51:00,,1110,70,AUS,Fontaine,Arielle,AUS,Scalzo,Tony,,,,,,
,veteran,mixed,0,23:39:00,,1110,71,AUS,McIntyre,Mandy,AUS,Rees,David,AUS,Guy,Jacqui,,,
,veteran,women,0,23:51:00,,1040,72,AUS,Hancock,Janet,AUS,Hancock,Sue,,,,,,
,ultraveteran,mixed,0,23:26:00,,1000,73,AUS,Laver,James,AUS,Tassell,Barbara,,,,,,
,superveteran,mixed,0,12:46:00,,950,74,AUS,Schafer,Janelle,AUS,Schafer,Michael,,,,,,
,open,mixed,0,19:41:00,,930,75,AUS,Gustafson,Leah,AUS,Peduzie,Trev,,,,,,
,veteran,men,0,22:12:00,,920,76,AUS,Phillips,Michael,AUS,Wood,Garry,,,,,,
,open,women,0,23:06:00,,890,77,AUS,Hammerton,Kate,AUS,Weatherhead,Chloe,,,,,,
,superveteran,men,0,23:42:00,,890,78,AUS,Scaddan,Ray,AUS,Brown,Lee,,,,,,
,youth,mixed,0,22:36:00,,880,79,AUS,McComb,Zali,AUS,McComb,Jett,,,,,,
,ultraveteran,men,0,21:07:00,,830,80,AUS,Anderson,John,AUS,Woodley,Ted,,,,,,
,open,mixed,0,13:19:00,,800,81,AUS,White,Carlin,AUS,White,Zoe,,,,,,
,open,mixed,0,23:28:00,,800,82,AUS,Hussein,Salome,AUS,Carr,James,AUS,So,Susan,,,
,ultraveteran,men,0,10:19:00,,790,83,AUS,Potter,Jon,AUS,Baldwin,Chris,,,,,,
,veteran,mixed,0,23:45:00,,710,84,AUS,Marney,Christopher,AUS,Chong,Hannah,,,,,,
,open,women,0,22:20:00,,680,85,AUS,Goyen,Sarah,AUS,Brookes,Miranda,,,,,,
,superveteran,women,0,11:33:00,,600,86,AUS,Cameron,Jane,AUS,Milne,Miranda,,,,,,
,open,mixed,0,16:21:00,,570,87,KOR,Kim,Soohyun,GER,Bastian,Isabell,SRI,Mendis,Vichithra,,,
,open,men,0,23:23:00,,410,88,AUS,Lodge,Riley,AUS,Bettison,Tyron,,,,,,
,superveteran,women,0,06:25:00,,290,89,AUS,Bush,Janet,AUS,Motson,Anne,,,,,,
,open,mixed,0,20:43:00,,190,90,AUS,Carroll,Kim,AUS,Carroll,Sean,,,,,,
,open,mixed,0,12:36:00,,30,91,AUS,Roush,Alison,AUS,Bateup,Mark,,,,,,
,ultraveteran,mixed,0,24:00:00,withdrawn,0,92,AUS,Montgomery,Bob,AUS,Montgomery,Pam,,,,,,
,open,men,0,24:00:00,withdrawn,0,93,AUS,Armstrong,Benjamin,AUS,Patman,Daniel,,,,,,
,open,mixed,0,24:00:00,withdrawn,0,94,AUS,Vallejo,Carlos Vega,NOR,Hidle,Eirik,FRA,Laudou,Guillaume,AUS,Almutairi,Annie
