gender,age,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname,member5country,member5lastname,member5firstname
mixed,veteran,0,23:57:23,,3690,1,AUS,Baldwin,David,AUS,Quinn,Julie,,,,,,,,,
mixed,veteran,0,23:44:26,,3280,2,AUS,Guard,Paul,AUS,Koopman,Amanda,,,,,,,,,
men,open,0,23:50:50,,3170,3,AUS,Taib,Ronnie,AUS,Williams,David,,,,,,,,,
men,open,0,23:49:43,,3070,4,AUS,Penneman,Aurelien,AUS,Koudashev,Ivan,,,,,,,,,
mixed,superveteran,0,23:40:49,,2920,5,GBR,Sutcliffe,Jonathan,AUS,Egerton,Thorlene,,,,,,,,,
mixed,veteran,0,23:50:48,,2830,6,AUS,Bachvarova,Antoniya,AUS,Smith,Andrew,,,,,,,,,
mixed,superveteran,0,23:45:03,,2810,7,AUS,Walker,Bernard,AUS,Brain,Sara,,,,,,,,,
men,veteran,0,23:54:48,,2810,8,AUS,McComb,Jonathan,AUS,Parker,Ian,,,,,,,,,
women,open,0,23:52:46,,2650,9,AUS,Sheldon,Anna,AUS,Houghton,Kate,,,,,,,,,
mixed,veteran,0,22:56:31,,2580,10,AUS,Fowler,Gill,AUS,Keyte,Mick,,,,,,,,,
men,superveteran,0,23:14:02,,2570,11,AUS,Carroll,Gary,AUS,McLean,Ken,,,,,,,,,
mixed,ultraveteran,0,22:46:49,,2450,12,AUS,Douglass,Jean,AUS,Battersby,Grant,AUS,Robinson,Richard,,,,,,
men,superveteran,0,23:38:44,,2440,13,AUS,McComb,Andrew,AUS,Hoopmann,Paul,,,,,,,,,
men,superveteran,0,23:22:59,,2390,14,AUS,Greenhalgh,Bruce,AUS,Sullivan,Steve,,,,,,,,,
mixed,open,0,23:05:43,,2340,15,AUS,Mealing,Nicole,AUS,Brown,Andrew,,,,,,,,,
mixed,veteran,0,23:41:44,,2330,16,AUS,Gray,Stephen,AUS,Docker,Cath,,,,,,,,,
men,veteran,0,22:43:10,,2280,17,AUS,Norman,Des,AUS,Callen,Shaw,,,,,,,,,
women,superveteran,0,22:35:42,,2240,18,AUS,Brown,Christine,AUS,Pedley,Karen,,,,,,,,,
mixed,veteran,0,23:40:38,,2140,19,AUS,Allen,Simon,AUS,Wild-Allen,Karen,,,,,,,,,
women,veteran,0,23:21:14,,2120,20,AUS,Barnes,Tamsin,AUS,Read,Wendy,,,,,,,,,
women,superveteran,0,23:11:10,,2010,21,AUS,Colwell,Evelyn,AUS,McInerney,Jenny,,,,,,,,,
men,open,0,23:46:35,,2010,22,AUS,Macadam,Alex,AUS,Shaw,Christopher,,,,,,,,,
mixed,youth,0,23:35:30,,1990,23,AUS,Cazzolato,Tobias,AUS,Grivell,Max,AUS,Marschall,Jack,AUS,George,Joanna,AUS,Abigail,George
mixed,superveteran,0,23:32:54,,1910,24,AUS,Struthers,Mark,AUS,Windross,Annette,,,,,,,,,
men,open,0,23:44:16,,1850,25,AUS,Blyton,Peter,AUS,Hough,Nigel,,,,,,,,,
men,open,0,23:52:33,,1840,26,AUS,Morcom,Greg,AUS,Morcom,Mitchell,,,,,,,,,
women,veteran,0,23:17:53,,1800,27,AUS,Wishart,Karen,AUS,Powell,Jo,,,,,,,,,
mixed,veteran,0,23:53:14,,1780,28,AUS,Gagel,Kerrie,AUS,Gagel,Alex,,,,,,,,,
men,superveteran,0,23:40:25,,1750,29,AUS,Gillott,Douglas,AUS,Van den Nieuwelaar,Sef,AUS,Denyer,Andrew,,,,,,
men,superveteran,0,23:20:17,,1700,30,AUS,Smith,Jon,AUS,Broadbent,Mike,,,,,,,,,
men,open,0,23:24:55,,1650,31,AUS,Tanner,Florian,AUS,Gensemer,Daniel,,,,,,,,,
men,open,0,23:58:49,,1620,32,AUS,Ritossa,William,AUS,Babi,Jayde,,,,,,,,,
women,youth,0,23:37:15,,1550,33,AUS,Norman,Meredith,AUS,Smernik,Josie,,,,,,,,,
mixed,superveteran,0,23:27:07,,1520,34,AUS,Sage,Richard,AUS,Danis,Nihal,AUS,Pitot,Dom,,,,,,
mixed,veteran,0,23:55:42,,1510,35,AUS,Sewell,Anna,AUS,Sewell,Jimmy,,,,,,,,,
mixed,open,0,23:30:10,,1500,36,AUS,Hillyard,Tyson,AUS,Hillyard,Fern,,,,,,,,,
men,open,0,23:55:01,,1500,37,AUS,Bouchardeau,Francois,AUS,Sted,Maxime,,,,,,,,,
mixed,superveteran,0,23:25:53,,1480,38,AUS,Schafer,Janelle,AUS,Schafer,Michael,,,,,,,,,
men,open,0,21:31:31,,1470,39,AUS,Staker,Marcus,AUS,Kalleske,Isaac,AUS,Smithson,Ryley,,,,,,
mixed,veteran,0,23:19:09,,1410,40,AUS,Austin,Meisha,AUS,Cooper,Michael,,,,,,,,,
mixed,open,0,22:25:00,,1360,41,AUS,Jolly,Jackson,AUS,McGilvray,Erin,,,,,,,,,
men,ultraveteran,0,23:27:12,,1360,42,AUS,Anderson,John,AUS,Ledger,Julian,,,,,,,,,
men,veteran,0,23:08:32,,1350,43,AUS,Donnelly,James,AUS,Elding,Matt,,,,,,,,,
mixed,veteran,0,23:36:34,,1340,44,AUS,Hawthorne,Lucy,AUS,Hawthorne,Neil,,,,,,,,,
mixed,open,0,23:46:05,,1270,45,AUS,Burdett,Steve,AUS,Chavez,Camilo Loor,AUS,Fitzsimons,Kate,,,,,,
mixed,veteran,0,23:45:34,,1260,46,AUS,Oke,Anne,AUS,Schubert,Guy,AUS,Bailey,Marcus,,,,,,
mixed,open,0,23:35:06,,1230,47,AUS,Hansen,Robyn,AUS,Stanley,Joel,,,,,,,,,
mixed,ultraveteran,0,23:46:50,,1230,48,AUS,Cameron,Ian,AUS,Kurrle,Susan,,,,,,,,,
men,open,0,23:44:11,,1180,49,AUS,Heitmann,Andrew,AUS,Curtis,Simon,,,,,,,,,
men,open,0,17:34:06,,1100,50,AUS,Horwood,Lewis,AUS,Baxter,Daniel,AUS,Turner,Dan,,,,,,
men,open,0,23:12:56,,1090,51,AUS,Hodgson,Lachlan,AUS,Applebee,Brad,,,,,,,,,
women,veteran,0,23:46:04,,1090,52,AUS,McIntyre,Mandy,AUS,Davis,Carolyn,,,,,,,,,
men,youth,0,23:44:40,,1070,53,AUS,Milne,Joe,AUS,Ellis,Shaun,,,,,,,,,
mixed,ultraveteran,0,23:51:20,,1060,54,AUS,Sprod,Richard,AUS,Sprod,Judy,,,,,,,,,
men,open,0,9:16:08,,1050,55,AUS,Hearnden,Philip,AUS,Hearnden,Tom,,,,,,,,,
men,superveteran,0,23:25:16,,1050,56,AUS,Fotheringham,Doug,AUS,Velaitis,Gerry,,,,,,,,,
women,ultraveteran,0,23:55:22,,880,57,AUS,Poulis,Parissa,AUS,Miethke,Pat,,,,,,,,,
mixed,youth,0,12:05:51,,840,58,AUS,Guerin,Chris,AUS,Ashburner,Holly,,,,,,,,,
mixed,open,0,23:00:20,,810,59,AUS,Frigo,Steven,AUS,Herbert,A J,,,,,,,,,
mixed,open,0,23:26:01,,800,60,AUS,Ozog,Bart,AUS,Osborne,Shanti,AUS,Antennuci,Andrew,,,,,,
mixed,open,0,23:49:33,,710,61,AUS,Bolingbroke,Georgia,AUS,Schiworski,Mitchell,AUS,Muusse,Sophie,AUS,Cao,Huy Tuong,,,
men,open,0,20:31:10,,650,62,AUS,Hasenohr,Stefan,AUS,Kodali,Lochan,,,,,,,,,
mixed,open,0,11:16:01,,640,63,AUS,Rus,Adriana,AUS,Rus,Gabriel,AUS,Penneck,Damian,AUS,Bateup,Mark,,,
mixed,open,0,23:59:41,,620,64,AUS,Farquharson,Liz,AUS,Farquharson,Ryan,AUS,Farquharson,Euan,AUS,Farquharson,Kira,,,
mixed,ultraveteran,0,23:22:09,,610,65,AUS,Such,John,AUS,Such,Carol,,,,,,,,,
women,veteran,0,23:51:50,,550,66,AUS,Steele,Amanda,AUS,Schweininger,Silvia,,,,,,,,,
mixed,open,0,23:58:01,,520,67,AUS,Lesmann,Jordan,AUS,Lesmann,Chloe,AUS,Lesmann,Annelie,,,,,,
men,open,0,23:18:30,,510,68,AUS,Nicol,Jason,AUS,Nicol,Zac,,,,,,,,,
men,open,0,23:55:07,,510,69,AUS,Carr,James,AUS,Culhane,Eamonn,AUS,Jones,William,,,,,,
mixed,open,0,23:45:03,,400,70,AUS,Weis,Ian,AUS,Weis,Rachel,,,,,,,,,
mixed,open,0,7:40:56,,390,71,AUS,Blason,Monique,AUS,Warner-Blason,Sean,AUS,Warner-Blason,Charlie,AUS,Warner,Andy,,,
men,open,0,7:40:51,,360,72,AUS,Overton,Mark,AUS,Overton,Luke,,,,,,,,,
men,open,0,3:24:10,,350,73,AUS,Murray,Mark,AUS,Murray,Daniel,,,,,,,,,
men,youth,0,23:57:41,,330,74,AUS,Wilson,Keegan,AUS,Milne,Charlie,,,,,,,,,
mixed,open,0,22:53:16,,290,75,AUS,Key,Ngaire,AUS,Key,Phillip,AUS,Key,Talia,AUS,Dean,Eve,,,
women,veteran,0,23:48:51,,160,76,AUS,Beach,Ruth,AUS,Hancock,Lisa,,,,,,,,,
women,open,0,3:58:50,not finished,0,77,AUS,Rasch,Meredith,AUS,Jarvis,Jessica,,,,,,,,,
women,open,0,16:18:18,not finished,0,78,AUS,Sanders,Jessica,AUS,Ho,Stephanie,,,,,,,,,
mixed,ultraveteran,0,24:23:35,not finished,0,79,AUS,Clarke,Sue,AUS,Kelemen,Walter,,,,,,,,,
men,ultraveteran,0,24:51:13,overtime,0,80,AUS,Milnes,Peter,AUS,Tucker,Rob,,,,,,,,,
