id,time,score,penalty,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname,member5country,member5firstname,member5lastname
1,23:51:00,4170,0,veteran,mixed,AUS,David,Baldwin,AUS,Julie,Quinn,,,,,,,,,
66,23:56:00,3710,0,open,men,AUS,Thomas,Brazier,AUS,Paul,Cuthbert,,,,,,,,,
45,23:41:00,3540,0,open,men,AUS,Paul,Guard,AUS,Tony,Scott,,,,,,,,,
72,23:55:00,3490,0,open,men,AUS,Mike,Hotchkis,AUS,Tristan,White,,,,,,,,,
46,23:38:00,3410,0,open,mixed,AUS,Dane,Roberts,AUS,Clare,Lonergan,AUS,Susie,Sprague,,,,,,
126,23:54:00,3380,0,open,men,AUS,Dave,Schloss,AUS,Samuel,Blackadder,,,,,,,,,
12,23:45:00,3350,0,veteran,mixed,AUS,Andrew,Smith,AUS,Toni,Bachvarova,,,,,,,,,
93,23:45:00,3330,0,open,women,AUS,Gill,Fowler,AUS,Jess,Baker,,,,,,,,,
61,23:46:00,3190,0,open,men,AUS,David,Williams,AUS,Ronnie,Taib,,,,,,,,,
15,23:42:00,3160,0,superveteran,mixed,AUS,Richard,Robinson,NZL,Vivienne,Prince,,,,,,,,,
23,23:48:00,3100,0,open,men,AUS,Jackson,Bursill,AUS,Nicholas,Montgomery,,,,,,,,,
3,23:48:00,3050,0,veteran,men,AUS,Jonathan,Sutcliffe,AUS,Andrew,Baker,,,,,,,,,
77,23:47:00,2990,0,youth,men,AUS,Fergus,Macleod,AUS,Max,Messenger,,,,,,,,,
95,23:21:00,2930,0,open,mixed,AUS,Alex,Allchin,AUS,Nicole,Mealing,,,,,,,,,
82,19:06:00,2910,0,open,men,AUS,Martin,Dent,AUS,Rob,Walter,,,,,,,,,
30,23:41:00,2900,0,superveteran,men,AUS,Andy,Macqueen,AUS,Greg,King,,,,,,,,,
