id,Category,team-name,gender,age,score,penalty,time,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname
1,MO,Velkej a Malej,men,open,2710,0,23:52:25,CZE,Kotyk,Jan,CZE,Najman,Jaroslav,CZE,Seidl,Miroslav
2,MO,Expressko lungo,men,open,2050,0,23:42:12,CZE,Důrek,Milan,CZE,Janega,Mates,,,
3,MO,Think Twice Run Once,men,open,1380,0,23:41:42,CZE,Nesterov,Dmitry,CZE,Sukhov,Maxim,,,
4,MO,LPM - Lehce Podnapilý Mančaft,men,open,1350,0,22:22:11,CZE,Čechura,Tomáš,CZE,Šilhavý,Jakub,,,
5,MO,marek.maty,men,open,1350,0,21:03:00,CZE,Beneš,Marek,CZE,Palan,Matyáš,,,
6,MO,Kolmo na vrstevnice!,men,open,1330,0,23:23:21,CZE,Hamáček,Vladimír,CZE,Stříbrný,Petr,,,
7,MO,Tesil Milevsko,men,open,1180,0,22:39:39,CZE,Mareš,Ladislav,CZE,Pešta,Jiří,CZE,Žižka,Přemysl
8,MO,SK Okoun Gorolia,men,open,1050,0,23:27:52,CZE,Riessler,Otto,CZE,Sikora,Michal,,,
9,MSV,GiL Polska,men,superveteran,1890,0,23:41:10,POL,Bujakiewicz,Gabriel,POL,Harman-Iżycki,Leszek,,,
10,MSV,WITaj,men,superveteran,1430,0,22:07:07,CZE,Krejčík,Zbyněk,CZE,Lanc,Marian,,,
11,MV,OB Říčany,men,veteran,2190,0,23:49:47,CZE,Koten,Pavel,CZE,Rožek,David,,,
12,MV,Štika a Drak eXtreme Team,men,veteran,1950,0,23:19:27,CZE,Fukátko,Jan,CZE,Ježek,Vladimír,,,
13,MV,Kosáci,men,veteran,1810,0,23:19:40,CZE,Svoboda,Lukáš,CZE,Svoboda,Zdeněk,,,
14,MV,SK SP Kylešovice/SK Opavanet,men,veteran,1650,0,23:42:35,CZE,Navrátil,Marek,CZE,Sadílek,Martin,,,
15,MV,KUAKUO,men,veteran,1600,0,23:25:12,CZE,Procházka,Pavel,CZE,Štancl,Jiří,,,
16,MV,Úslava team,men,veteran,1580,0,23:46:50,CZE,Mašek,Václav,CZE,Vohradský,Ondřej,,,
17,WO,Spektrum,women,open,910,0,15:55:49,CZE,Kundratová,Eva,CZE,Kundratová,Jana,,,
18,WO,Papaver dubium,women,open,270,0,23:33:39,CZE,Otcovská,Kristýna,CZE,Tojnarová,Veronika,,,
19,WO,Corpora Cavernosa,women,open,1740,0,22:35:43,CZE,Lepšíková,Eva,CZE,Záveská,Anna,,,
