id;name;gender;age;member1lastname;member1firstname;member1country;member2lastname;member2firstname;member2country;member3lastname;member3firstname;member3country;member4lastname;member4firstname;member4country;member5lastname;member5firstname;member5country;time;original_score;penalty;score;status
127;Inov-8;men;open;Cech;Radovan;CZE;Horyna;Roman;CZE;;;;;;;;;;23:43:17;4050;0;4050;
114;Estonian ACE Adventure;men;open;Eensaar;Silver;EST;Eensaar;Rain;EST;;;;;;;;;;24:03:42;3970;50;4020;
154;Team Salomon;men;open;Jürgen;Einpaul;EST;Tammemäe;Timmo;EST;;;;;;;;;;23:50:21;3760;0;3760;
153;Team France Rogaining;men;open;COCHEY;BENOIT;FRA;PLAGNOL;Francois;FRA;;;;;;;;;;23:23:38;3710;0;3710;
342;ISOSTAR LATVIA;mixed;veteran;Mankus;Guntars;LAT;PUKITE;IRITA;LAT;;;;;;;;;;23:54:51;3330;0;3330;
122;Fuby Sport;men;open;JAUME FOLGUERA;Robert;ESP;Herrero Casas;Albert;ESP;Olivar Roldán;Aurelio Antonio;ESP;;;;;;;23:49:20;3240;0;3240;
198;Rogain and co;mixed;open;Chatelon;David;FRA;Chatelon;Lucile;FRA;Roux;Nicolas;FRA;;;;;;;23:48:54;3170;0;3170;
311;MARMOT-CATALUNYA;men;veteran;MASSAGUÉ MIR;SEBASTIÁ;ESP;MAYOLAS;PEP;ESP;Doménech Amorós;Jordi;ESP;;;;;;;23:38:55;2970;0;2970;
115;EUSKAT;men;open;Otamendi Zurutuza;Aitor;ESP;Tarrés Villegas;David;ESP;;;;;;;;;;23:52:08;2960;0;2960;
165;Geniaalne Superkonn;women;open;Hirv;Eleri;EST;Sulg;Mariann;EST;;;;;;;;;;23:39:54;2930;0;2930;
138;M&M's;men;open;Minakov;Alexander;RUS;Minakov;Alex;RUS;;;;;;;;;;23:46:10;2920;0;2920;
185;Miia and Sami;mixed;open;Hovi;Miia;FIN;Levijoki;Sami;FIN;;;;;;;;;;23:05:51;2830;0;2830;
125;Ilm�raeksimatud;men;open;Mirme;Sander;EST;Roose;Riivo;EST;;;;;;;;;;22:58:12;2790;0;2790;
313;O-RUN FOR FUN;men;veteran;Savchenko;Viacheslav;RUS;SIRINOK;SERGII;UKR;Tonis;Alexander;RUS;;;;;;;23:42:40;2750;0;2750;
189;Liedagi-35;mixed;open;Preciniece;Zelma;LAT;Precinieks;Fadejs;LAT;;;;;;;;;;23:51:31;2700;0;2700;
202;Suvorovets_O-Club;mixed;open;GORODYNETS;ARTEM;UKR;SHUPER;MARIIA;UKR;TSYREN;Evgeniy;UKR;;;;;;;22:56:05;2660;0;2660;
330;SPLAV-X-Race.info;women;veteran;Galkina;Marina;RUS;Mikheeva;Nina;RUS;;;;;;;;;;23:54:14;2630;0;2630;
121;FROSTEAM;men;open;Hernández Rodríguez;Alejandro;ESP;Torrejón Rubio;César;ESP;TORREJóN RUBIO;CARLOS;ESP;;;;;;;23:56:55;2590;0;2590;
344;Kuragan;mixed;veteran;Khalyapin;Alexander;RUS;Safonov;Alexander;RUS;Safonova;Irina;RUS;;;;;;;23:52:00;2550;0;2550;
339;GET LOST!-RUNNING, RACING;mixed;veteran;BOIKO;ANNA;RUS;Gusiatnikov;Vladimir;USA;;;;;;;;;;23:48:53;2540;0;2540;
357;Serious & Intent;mixed;veteran;Gorria Corres;Carlos;ESP;Lapina;Ilze;LAT;;;;;;;;;;23:41:25;2470;0;2470;
203;TAP ve Španělsku;mixed;open;Zajic;Vitezslav;CZE;Zamazalova;Katerina;CZE;;;;;;;;;;23:57:50;2460;0;2460;
169;November;women;open;Dotsenko;Olena;UKR;Pustova;Natalia;UKR;;;;;;;;;;23:15:19;2440;0;2440;
151;Rogaine de Pardines - Aligots;men;open;Amat Muñoz;Marc;ESP;Ferrer Pérez;Francesc;ESP;Garcia de marina soler;Guillermo;ESP;;;;;;;23:43:54;2440;0;2440;
609;FirstVinLeader;mixed;youth;Basyuk;Anastasia;UKR;Bezditniy;Volodymyr;UKR;NAGORNYUK;Sergey;UKR;;;;;;;23:16:44;2430;0;2430;
406;RETA;men;superveteran;Reha;Jaanus;EST;Tali;Tiit;EST;;;;;;;;;;22:22:03;2420;0;2420;
129;ISSY ABSOLU RAID;men;open;BONNEFOUS;Lionel;FRA;CADILHAC;Jérome;FRA;;;;;;;;;;23:37:48;2410;0;2410;
345;La Nova Fita;mixed;veteran;Aguilera;Monica;ESP;Rafols;Marc;ESP;;;;;;;;;;23:44:00;2390;0;2390;
309;La Brújula - Tierra Trágame;men;veteran;Agejas Domínguez;Juan Manuel;ESP;Perez Diaz;Jonay;ESP;Tejerina Hernanz;Rubén;ESP;;;;;;;23:44:49;2390;0;2390;
184;ESTO ERC Team;mixed;open;Kaseväli;Mari;EST;Marrandi;Toomas;EST;;;;;;;;;;23:17:40;2380;0;2380;
604;Mospan-Mishka;men;youth;KOSHOVIY;YAROSLAV;UKR;Mospan;Serhiy;UKR;;;;;;;;;;23:56:19;2370;0;2370;
135;LOS CASTRONES;men;open;Fernández Boltá;Jordi;ESP;Garcia Mayo;Juan;ESP;Perez Gonzalez;Juan Carlos;ESP;;;;;;;23:49:08;2350;0;2350;
607;ASTRA;women;youth;ZAKHAROVA;POLINA;UKR;DZEMA;KATERYNA;UKR;;;;;;;;;;23:42:36;2320;0;2320;
351;Rakvere Baseilo-Husqvarna team;mixed;veteran;Pritsik;Aleksander;EST;Sild;Heidi;EST;;;;;;;;;;23:56:03;2320;0;2320;
195;Pirates!;mixed;open;Goryachkin;Andrey;RUS;Petukhov;Oleg;RUS;Petukhova;Daria;RUS;;;;;;;23:58:13;2300;0;2300;
