rank,id,score,time,penalty,status,age,gender,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
1,173,3780,23:44:15,0,,open,men,ESP,Herrero,Albert,ESP,Roldán,Aurelio Antonio Olivar ,,,,,,
2,71,3600,23:47:42,0,,open,men,CZE,Čech,Radovan,CZE,Skripnik,Ondřej,,,,,,
3,109,3370,23:39:24,0,,open,men,UKR,Komentorus,Yuri,UKR,Dmytryuk,Oleksandr,,,,,,
4,12,3330,22:23:39,0,,open,men,EST,Roose,Riivo,EST,Mirme,Sander,,,,,,
5,150,3280,23:33:23,0,,veteran,men,ESP,Pascual,Roberto,ESP,Urquizu,Jorge,ESP,Colon,Eric,,,
6,90,3190,23:44:03,0,,open,mixed,EST,Marrandi,Toomas,EST,Kaseväli,Mari,,,,,,
7,49,3150,23:42:33,0,,open,mixed,UKR,Gorodynets,Artem,UKR,Shuper,Maria,UKR,Tsyren,Yevgeniy,,,
8,122,3100,22:52:36,0,,open,men,UKR,Vikhtiuk,Mykola,UKR,Perekhozhuk,Mykola,,,,,,
9,15,3080,23:21:21,0,,open,men,LAT,Bibers,Zigmunds,LAT,Smaukstelis,Guntis,,,,,,
10,50,3050,23:55:36,0,,open,mixed,RUS,Tonis,Alexander,RUS,Zimina,Natalia,,,,,,
11,167,3020,23:51:58,0,,veteran,men,EST,Hiie,Armo,FIN,Skinnari,Juha,,,,,,
12,19,2970,23:26:17,0,,veteran,men,CZE,Seidl,Miroslav,CZE,Kotyk,Jan,,,,,,
13,134,2940,23:41:37,0,,youth,women,UKR,Zakharova,Polina,UKR,Dzema,Ekaterina,,,,,,
14,174,2930,23:34:43,0,,veteran,mixed,LAT,Kaminskis,Valters,LAT,Liepina,Anita,,,,,,
15,106,2930,23:55:56,0,,veteran,mixed,LAT,Mankus,Guntars,LAT,Puķīte,Irita,,,,,,
16,65,2920,23:45:54,0,,veteran,mixed,EST,Loorits,Neeme,EST,Lemberg,Anneken,,,,,,
17,83,2900,23:34:19,0,,open,men,ESP,Pellisa,Oriol,ESP,Moras,Roger,,,,,,
18,59,2870,23:32:58,0,,open,men,UKR,Mospan,Serhiy,UKR,Bodnaruk,Vasil,UKR,Polkovnikov,Petro,,,
19,61,2830,23:52:48,0,,open,men,RUS,Yakimov,Alexander,RUS,Sripko,Alexey,,,,,,
20,115,2830,23:59:58,0,,open,men,RUS,Kulikov,Roman,RUS,Pikuz,Sergey,,,,,,
21,95,2810,23:15:21,0,,veteran,men,EST,Pukkonen,Eduard,EST,Roose,Antti,,,,,,
22,43,2790,23:40:31,0,,open,mixed,UKR,Bezditniy,Volodymyr,UKR,Myronenko,Olena,,,,,,
23,112,2760,23:33:35,0,,open,mixed,EST,Piirisild,Tõnis,EST,Siegert,Inga,,,,,,
24,20,2760,23:38:14,0,,veteran,women,RUS,Abramova,Natalia,RUS,Galkina,Marina,,,,,,
