id,age,gender,teamname,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
620,open,men,Salomon S-Lab,332,23:22:10,0,,EST,Timmo,Tammemäe,EST,Sander,Linnus,,,
607,open,men,Õnnevalem,327,23:55:32,0,,EST,Sander,Mirme,EST,Ain,Fjodorov,,,
603,open,men,Compressport,314,23:50:57,0,,UKR,Mykola,Vikhtuk,UKR,Oleksandr,Dmytryuk,,,
621,open,men,Aligots - Tierra Trágame,303,23:41:24,0,,ESP,Albert,Herrero,ESP,Aurelio Antonio,Olivar,,,
600,open,men,ALL IN,297,23:50:12,0,,LAT,Zigmunds,Bībers,LAT,Pēteris,Grīviņš,,,
609,open,men,Czech team 1,285,23:50:40,0,,CZE,Miroslav,Seidl,CZE,Vaclav,Kral,,,
1213,veteran,men,4EST Runners,284,23:31:14,0,,EST,Lauri,Lahtmäe,EST,Jaak,Väärsi,,,
1211,veteran,men,JuMi-Force aka Stiffness,284,23:45:32,0,,FIN,Juha,Skinnari,FIN,Mikko,Eklund,,,
611,open,men,Nirvana Raid - Mico Team,279,23:24:35,0,,ITA,Emiliano,Corona,ITA,Andrea,Villa,,,
605,open,men,AR team,278,22:49:13,0,,UKR,Dmytro,Kosytsin,UKR,Maksym,Krasnopolskyi,,,
1013,open,mixed,OC Wolf Lutsk (ukr),278,23:31:54,0,,UKR,Irina,Voitovych,UKR,Taras,Melnyk,UKR,Artem,Slotin
1001,open,mixed,ESTO ERC Team,274,23:41:18,0,,EST,Toomas,Marrandi,EST,Anneken,Lemberg,,,
612,open,men,Priekā,274,23:59:37,0,,LAT,Sandis,Pētersons,LAT,Didzis,Rozenbergs,,,
601,open,men,MÜRSK XII,273,23:31:58,0,,EST,Siim,Klais,EST,Märt,Roosaare,,,
613,open,men,Baltu lokys,269,23:14:34,0,,LTU,Audrius,Rudys,LTU,Tomas,Jasinevicius,,,
801,open,women,Jänene,269,23:46:40,0,,EST,Eleri,Hirv,EST,Piibe,Tammemäe,,,
1204,veteran,men,SVS,268,23:26:48,0,,UKR,Volodymyr,Shpetnyy,UKR,Sergey,Sirinok,,,
1600,veteran,mixed,Isostar Latvia,259,23:58:14,0,,LAT,Irita,Pukite,LAT,Guntars,Mankus,,,
1210,veteran,men,Lupus Extreme,254,23:32:47,0,,FIN,Mika,Talvisilta,FIN,Janne,Snellman,,,
807,open,women,Gorgany,249,23:07:38,0,,UKR,Olha,Cheberakha,UKR,Olena,Dotsenko,,,
1610,veteran,mixed,Libahunt Mix,245,23:27:23,0,,EST,Mairolt,Kakko,EST,Heidi,Sild,EST,Veikko,Tamlak
800,open,women,Khortytsia,242,23:37:02,0,,UKR,Tetiana,Perevalova,UKR,Svitlana,Martynova,,,
1016,open,mixed,We have the best planning,237,23:51:08,0,,EST,Olga,Andrejeva,EST,Neeme,Loortis,,,
806,open,women,Vilnius ZZ girls,233,23:15:28,0,,LTU,Inga,Zvinyte,LTU,Neringa,Zemaityte,,,
1002,open,mixed,Smeshariki,232,23:26:23,0,,UKR,Olena,Babych,UKR,Kiril,Odnokoz,,,
616,open,men,To se ještě uvidí,229,23:10:33,0,,CZE,Ales,Balcar,CZE,Tomas,Zelenka,,,
1615,veteran,mixed,Bukovyna-Sirius,229,23:29:30,0,,UKR,Daria,Tomash,UKR,Oleh,Lenyuk,,,
1014,open,mixed,Quick Pedals,228,23:34:57,0,,UKR,Serhiy,Petkevych,UKR,Nataliia,Tyshchenko,UKR,Serhiy,Mashynskyi
809,open,women,Energy girls,226,23:15:19,0,,UKR,Tetiana,Ufimtseva,UKR,Kateryna,Dzema,,,
1602,veteran,mixed,Mona V,225,23:55:25,0,,LAT,Baiba,Ozola,LAT,Janis,Nagelis,,,
206,youth,women,SMARTeam,224,23:04:08,0,,UKR,Anastasia,Basyuk,UKR,Viktoria,Tkachuk,,,
1004,open,mixed,Bukovyna-Kuluar-TURcool,223,23:20:18,0,,UKR,Natalia,Shelepyuk,UKR,Artem,Krylyuk,UKR,Dmytro,Sandul
1806,superveteran,men,Rakvere Baseilo-Husqvarn,223,23:25:17,0,,EST,Aleksander,Pritsik,EST,Jaak,Rohtsalu,,,
614,open,men,Academy,223,23:47:49,0,,UKR,Anton,Puhovkin,UKR,Mykola,Hoienko,,,
618,open,men,Bukovyna-Voskhod,222,23:01:51,0,,UKR,Bohdan,Hrelia,UKR,Ivan,Andrusiak,,,
1800,superveteran,men,Bukovyna-Sumy,222,23:36:06,0,,UKR,Valerie,Shulga,UKR,Myhailo,Pugach,,,
7,youth,men,Lucky team,221,23:28:02,0,,UKR,Andrii,Lypa,UKR,Vadim,Petrovych,,,
1005,open,mixed,Spiridusii CPNT,220,23:44:21,0,,ROU,Mihaela Madalina,Iliuta,ROU, Mihai Alexandru,Biolan,ROU, Petre Cornel,Spiridon
608,open,men,Poltava,218,23:21:21,0,,UKR,Igor,Serdiuk,UKR,Iaroslav,Dobrenkyi,,,
