id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
107,men,open,23:55:29,500,0,finished,EST,Timmo,Tammemäe,EST,Sander,Linnus,,,,,,
112,men,open,23:51:16,472,0,finished,EST,Martin,Vilismäe,EST,Mehis,Muru,,,,,,
103,men,open,23:56:45,468,0,finished,EST,Riivo,Roose,EST,Sander,Mirme,,,,,,
144,men,veteran,23:50:23,449,0,finished,LAT,Zigmunds,Bibers,LAT,Alberts,Jasans,,,,,,
147,men,veteran,23:49:41,439,0,finished,FIN,Janne,Snellman,FIN,Juha,Lehtonen,,,,,,
114,men,open,23:51:38,436,0,finished,LAT,Karlis,Lauders,LAT,Guntis,Šmaukstelis,,,,,,
132,men,veteran,23:51:06,432,0,finished,FIN,Mikko,Eklund,FIN,Juha,Skinnari,,,,,,
342,mixed,veteran,23:56:31,426,0,finished,EST,Rain,Eensaar,EST,Reeda,Tuula-Fjodorov,,,,,,
206,women,open,23:42:14,415,0,finished,EST,Mariann,Sulg,EST,Maris,Terno,,,,,,
156,men,veteran,23:46:55,414,0,finished,EST,Kaido,Hallik,EST,Eduard,Taivere,,,,,,
160,men,veteran,23:53:50,405,0,finished,LAT,Sandis,Petersons,LAT,Mikelis,Zumbergs,,,,,,
301,mixed,open,23:39:27,395,0,finished,ISR,Aleksandr,Ramazanov,ISR,Svetlana,Ezhunova,ISR,Georgii,Ilgach,,,
119,men,open,23:45:48,390,0,finished,UKR,Artem,Gorodynets,UKR,Yevhenii,Bryndak,,,,,,
321,mixed,open,23:42:29,389,0,finished,EST,Neeme,Loorits,EST,Hedi,Laigar,,,,,,
353,mixed,veteran,23:28:45,387,0,finished,FIN,Manu,Humppi,FIN,Anne,Kiljunen,,,,,,
325,mixed,open,23:36:36,379,0,finished,UKR,Oleksandr,Trukhnii,UKR,Irina,Trukhnii,UKR,Bohdan,Vorobets,,,
152,men,veteran,23:50:55,379,0,finished,UKR,Yurii,Komenotrus,UKR,Oleksandr,Dmytruk,UKR,Mykola,Vikhtiuk,,,
163,men,veteran,23:36:26,372,0,finished,FIN,Jeremy,Palmer,FIN,Jouni,Nurminen,,,,,,
161,men,veteran,23:53:04,369,0,finished,FIN,Juha,Jumisko,FIN,Hannes,Pasanen,,,,,,
127,men,veteran,23:34:02,360,0,finished,LAT,Guntars,Žilinskis,LAT,Peteris,Ledinš,,,,,,
104,men,open,23:50:11,360,0,finished,UKR,Dmytro,Kurochkin,UKR,Anton,Puhovkin,,,,,,
169,men,veteran,24:06:23,364,-7,finished,EST,Madis,Osjamets,EST,Priit,Pikk,,,,,,
314,mixed,open,23:38:11,356,0,finished,CZE,Ales,Balcar,CZE,Jana,Balcarova,,,,,,
222,women,veteran,23:51:36,354,0,finished,LAT,Kristine,Kadaša,LAT,Aiva,Jakovela,,,,,,
302,mixed,open,23:47:42,352,0,finished,CZE,Jaroslav,Najman,CZE,Zuzana,Weissova,,,,,,
165,men,veteran,23:51:14,352,0,finished,LAT,Einars,Masteiko,LAT,Valters,Kaminskis,,,,,,
