name;age;gender;penalty;time;score;id;member1country;member1lastname;member1firstname;member2country;member2lastname;member2firstname;member3country;member3lastname;member3firstname
Team Välivuosi 2;open;men;0;23:45:47;2850;7;FIN;Mikkola;Jarno;FIN;Toimela;Niko
Lupus Extreme;open;mixed;0;23:58:01;2480;51;FIN;Snellman;Janne;FIN;Vapaaoksa;Jenni
Ozona Unda;open;women;0;23:38:00;2180;24;LAT;Jakovela;Aiva;LAT;Brazune;Alda
Veli Mäen Säätiö;open;men;0;23:46:48;2180;6;FIN;Korkeakangas;Antti;FIN;Nikkola;Hannu;FIN;Lehtimäki;Harri
RC Eemeli;veteran;men;0;22:28:31;2110;15;FIN;Lahtonen;Tommi;FIN;Leskelä;Jyrki
KOMOD;veteran;men;0;22:43:01;2060;13;RUS;Molotkov;Andrey;RUS;Komin;Igor
RasKun flikat;open;women;0;22:59:19;1950;23;FIN;Heittola;Suvi;FIN;Heittola;Satu;FIN;Ojala;Leena
Viimeiset pirkkalaiset;veteran;men;0;22:16:12;1880;17;FIN;Hyvärinen;Vesa;FIN;Koskinen;Tapani
Vaarojen Maraton;veteran;men;0;16:54:03;1800;18;FIN;Holttinen;O-P;FIN;Säämänen;Juha
Paha Rasti 2;open;men;0;20:56:51;1760;8;FIN;Liponkoski;Sami;FIN;Maksimainen;Ville;FIN;Mäkelä;Pete
Resistance;open;mixed;0;22:16:24;1730;45;FIN;Lassila;Ilkka;FIN;Toppila;Anni
Raivojuoksijat;open;men;0;14:58:32;1520;4;FIN;Humppi;Manu;FIN;Pitkäkoski;Jari
Rekolan Raikas;superveteran;mixed;0;23:39:08;1520;55;FIN;Haapomaa;Helena;FIN;Haapomaa;Eki
Aarnivalkea;open;men;0;20:18:35;1510;1;FIN;Junkkaala;Jouni;FIN;Sakko;Janne
Atqsi;veteran;men;0;19:27:29;1490;12;FIN;Valasma;Harri;FIN;Hietala;Aki
Team-TK;veteran;men;0;23:20:34;1480;14;FIN;Uusitalo;Jaakko;FIN;Ujanen;Olavi
Almost 1life;veteran;mixed;0;12:25:10;1460;60;FIN;Silventoinen;Ulla;FIN;Ruuska;Matti
Centipede;veteran;women;0;23:37:34;1430;31;RUS;Krylova;Elena;RUS;Slobodenyuk;Svetlana
Duck Intelligence;open;mixed;0;23:02:59;1420;41;FIN;Mannila;Minna;FIN;Koivunen;Petri
