id,gender,age,time,score,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
1,men,open,23:18:26,356,0,,USA,Jeremy,Palmer,FIN,Manu,Humppi,,,,,,
2,men,veteran,23:52:26,338,0,,RUS,Alexander,Khalyapin,FIN,Vladislav,Zavjalov,,,,,,
3,men,superveteran,22:42:42,329,0,,FIN,Pekka,Pekkala,FIN,Pertti,Syrjälä,,,,,,
4,men,open,23:59:01,309,0,,LAT,Kristaps,Tamuzs,LAT,Edgars,Sadris,,,,,,
5,men,superveteran,23:45:51,303,0,,EST,Aleksander,Pritsik,EST,Jaak,Rohtsalu,,,,,,
6,mixed,veteran,23:22:17,292,0,,FIN,Anne,Kiljunen,FIN,Kimmo,Kaario,,,,,,
7,men,open,22:49:52,288,0,,FIN,Tuomas,Nieminen,FIN,Antti,Rantanen,,,,,,
8,mixed,veteran,22:59:33,275,0,,FIN,Anna-Leena,Talasterä,FIN,Mika,Issakainen,,,,,,
9,women,veteran,23:50:33,273,0,,LAT,Ieva,Simsone,LAT,Ilze,Kremere,,,,,,
10,men,superveteran,21:58:19,268,0,,FIN,Simo,Valtanen,FIN,Pekka,Ylijoki,,,,,,
11,mixed,superveteran,23:24:19,267,0,,FIN,Helena,Haapomaa,FIN,Eki,Haapomaa,,,,,,
12,men,open,23:41:06,266,0,,FIN,Mika,Muhonen,FIN,Markus,Tyrkkö,,,,,,
13,mixed,open,23:35:05,256,0,,FIN,Olli,Pitkänen,FIN,Suvi,Vellonen,,,,,,
14,men,youth,21:26:58,248,0,,FIN,Viljo,Oripelto,FIN,Väinö,Johansson,,,,,,
15,men,open,22:42:20,247,0,,EST,Margus,Lehtme,EST,Taavi,Dovnar,,,,,,
16,men,veteran,24:01:24,246,8,,FIN,Joona,Eskelinen,FIN,Anssi,Rautio,,,,,,
17,men,youth,23:18:10,239,0,,FIN,Lauri,Heinaro,FIN,Pyry,Seppälä,,,,,,
