duration,name,gender,age,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
24,Baltu lokys,men,open,0,23:13:37,,262,1,LTU,Jasinevicius,Tomas,LTU,Rudys,Audrius,,,,,,
24,Painuan Jyske,men,open,0,22:21:58,,211,2,FIN,Tähtinen,Jaakko,FIN,Hihnala,Heikki,,,,,,
24,Ö-maajoukkue,men,open,0,22:07:16,,190,3,FIN,Laaksonen,Arttu,FIN,Siltanen,Simo,FIN,Lindberg,Mikko,,,
24,Pelikassit,men,open,0,12:12:24,,129,4,FIN,Heikkilä,Jani,FIN,Vuorenmaa,Jaakko,,,,,,
24,#matinaktiivilomat,men,open,0,18:19:30,,122,5,FIN,Mandelin,Kalle,FIN,Rutanen,Matti,,,,,,
24,Rasti-Sorsat,women,open,0,22:39:38,,174,6,FIN,Kurvinen,Kaisa,FIN,Kostiainen,Essi,,,,,,
24,Riemukömpijät,women,open,0,4:00:00,not finished,0,7,FIN,Kamila,Ulrika,FIN,Keltamäki,Tiia,FIN,Korpi-Kaija,Kati,,,
24,Suunta-Sepot,mixed,open,0,23:50:50,,248,8,FIN,Mäkelä,Jaakko,FIN,Uhotoinen,Anu,,,,,,
24,Herjalat ,mixed,open,0,23:32:00,,153,9,FIN,Jokela,Jari,FIN,Jokela,Elina,,,,,,
24,Northern Adventure Team,men,youth,0,22:01:12,,208,10,FIN,Heinaro,Lauri,FIN,Aunula,Jerry,FIN,Hollo,Lauri,,,
24,Free Adventure,men,veteran,0,23:48:30,,241,11,FIN,Vapa,Mikko,FIN,Vapa,Marko,,,,,,
24,ELBRUS FOREVER!,men,veteran,0,23:43:55,,238,12,FIN,Piirimäe,Pärtel,FIN,Lehtla,Reigo,,,,,,
24,Dark Men of Turku - Turun Metsänkävijät,men,veteran,0,21:46:55,,182,13,FIN,Orell,Marko,FIN,Lainema,Timo,,,,,,
24,Miehet Pihalla,men,veteran,0,20:36:50,,159,14,FIN,Aaltonen,Marko,FIN,Oikarinen,Jouni,,,,,,
24,Joutjärven Jarru,men,veteran,0,20:22:00,,153,15,FIN,Falk,Mika,FIN,Rättö,Tommi,,,,,,
24,Tuuripellet,men,veteran,0,4:00:00,not finished,0,16,FIN,Pohjakallio,Timo,FIN,Vanhanen,Jussi,,,,,,
24,Team Iida Finland,women,veteran,0,23:05:26,,201,17,FIN,Rannila,Tanja,FIN,Polso,Anne,,,,,,
24,Ylläksen Rasti 1,women,veteran,0,21:30:28,,165,18,FIN,Kärävä,Emma,FIN,Reinius,Kaisa,,,,,,
24,A&J,women,veteran,0,20:17:50,,133,19,FIN,Määttä,Annu,FIN,Yrjänheikki,Johanna,,,,,,
24,Team MaHa,women,veteran,0,22:34:23,,116,20,FIN,Damskägg,Marika,FIN,Bister,Hanna,,,,,,
24,Nastolan Terä's Sisters,women,veteran,0,18:01:40,,97,21,FIN,Juurakko,Satu,FIN,Hautala,Sari,,,,,,
24,OK Jockis,mixed,veteran,0,23:08:24,,174,22,FIN,Jokioinen,Esa,FIN,Jokioinen,Emmi,,,,,,
24,Pirunvuoren Ponnistus,mixed,veteran,0,20:39:30,,170,23,FIN,Törmikoski,Kai,FIN,Törmikoski,Tarja,,,,,,
24,Total Balalaika Show,mixed,veteran,0,22:36:44,,162,24,FIN,Mustonen,Minttu,FIN,Backlund,Pontus,,,,,,
24,Huvikseen retkellä,mixed,veteran,0,22:55:16,,157,25,FIN,Mikkola,Heli,FIN,Mikkola,Tapani,FIN,Lampen,Mårten,,,
24,MahtiTiimi,mixed,veteran,0,20:36:50,,87,26,FIN,Annika,Pekkola,FIN,Valtteri,Mulari,,,,,,
24,Team Polkuporinat,mixed,veteran,0,12:03:00,,54,27,FIN,Heerman,Sari,FIN,Heerman,Mikael,,,,,,
24,TÄH!,mixed,veteran,0,10:52:00,,50,28,FIN,Salonen,Eeva-Liisa,FIN,Raes,Velipekka,,,,,,
24,Hippoksen Maratonkerho,mixed,veteran,0,4:00:00,not finished,0,29,FIN,Kiljunen,Anne,FIN,Kaario,Kimmo,,,,,,
24,SuksittaSuolle,men,superveteran,0,22:21:42,,113,30,FIN,Lehtilä,Tarmo,FIN,Härkönen,Kari,,,,,,
24,Harrastelijat,women,superveteran,0,22:52:06,,115,31,FIN,Leppänen,Aino,FIN,Lappeteläinen,Raija,,,,,,
24,Nastolan Terä 1,women,superveteran,0,22:37:20,,106,32,FIN,Rantalainen,Arja,FIN,Rantalainen,Tuija,,,,,,
24,Team Tilda,mixed,superveteran,0,23:02:30,,171,33,FIN,Luup,Einar,FIN,Kärkkäinen,Päivi,,,,,,
24,Nopsakoivet,mixed,superveteran,0,21:41:06,,139,34,FIN,Jouni,Nurminen,FIN,Kaipia,Riikka,,,,,,
24,Laineet,women,ultraveteran,0,22:37:39,,27,35,FIN,Laine,Maarit,FIN,Laine,Tuire,,,,,,
8,Limingan pyöräpaja,mixed,open,0,7:47:41,,96,36,FIN,Paakkolanvaara,Mikko,FIN,Lithovius,Anna-Riikka,,,,,,
