id,grade,gender,age,score,penalty,time,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
1,MO,men,open,490,0, 18:43:49,LAT,Guntis,Šmaukstelis,LAT,Karlis,Lauders,,,
2,XV,mixed,veteran,490,0, 21:11:09,FIN,Anne,Kiljunen,FIN,Manu,Humi,,,
3,MO,men,open,490,0, 21:46:47,FIN,Juha,Prittinen,FIN,Janne,Hietala,,,
4,XV,mixed,veteran,490,0, 22:19:46,EST,Tõnis,Piirisild,EST,Pille,Winne,,,
5,MV,men,veteran,490,0, 22:38:00,LAT,Peteris,Ledins,LAT,Guntars,Zilinskis,,,
6,XV,mixed,veteran,465,0,0:00:00,LAT,Kristas,Tamuzs,LAT,Aiva,Jakovela,,,
7,MV,men,veteran,457,0,0:00:00,FIN,Jarkko,Haaa-Aho,FIN,Pertti,Lehtinen,FIN,Markus,Airila
8,MV,men,veteran,445,0,0:00:00,FIN,Olli,Pitkänen,FIN,Suvi,Pitkänen,,,
9,MV,men,veteran,440,0,0:00:00,FIN,Kalle,Tarhonen,FIN,Heikki,Helevä,,,
10,XO,mixed,open,432,0,0:00:00,FIN,Marko,Manninen,FIN,Jenni,Raivio,,,
11,WV,women,veteran,423,0,0:00:00,LAT,Ilze,Kremere,LAT,Ieva,Simsone,,,
12,MSV,men,superveteran,423,0,0:00:00,FIN,Tommi,Lainema,FIN,Timo,Lainema,,,
13,XV,mixed,veteran,420,0,0:00:00,FIN,Imbi,Soome,FIN,Gert,Saamann,,,
14,MV,men,veteran,420,0,0:00:00,FIN,Timo,Pohjakallio,FIN,Jussi,Vanhanen,,,
15,MV,men,veteran,413,0,0:00:00,CZE,Tomáš,Bělohlávek,CZE,FiliP,Černoch,,,
16,WO,women,open,412,0,0:00:00,LAT,Aleksandra,Fjodorova,LAT,Anita,Uzule,,,
17,MO,men,open,412,0,0:00:00,LAT,Jānis,Užulis,LAT,Martins,Sandars,,,
18,MO,men,open,404,0,0:00:00,FIN,Jani,Ekqvist,FIN,Oskari,Summanen,,,
19,XSV,mixed,superveteran,402,0,0:00:00,FIN,Helena,Haaomaa,FIN,Eki,Haaomaa,,,
20,MSV,men,superveteran,398,0,0:00:00,EST,Aleksander,Pritsik,EST,Jaak,Rohtsalu,,,
21,WV,women,veteran,392,0,0:00:00,EST,Anne,Polso,EST,Tanja,Rannila,,,
22,XSV,mixed,superveteran,392,0,0:00:00,FIN,Einar,Luu,FIN,Päivi,Kärkkäinen,,,
23,XV,mixed,veteran,365,0,0:00:00,FIN,Heidi,Komu,FIN,Janne,Kotaniemi,,,
24,XO,mixed,open,363,0,0:00:00,FIN,Matias,Pousi,FIN,Miina,Hietala,,,
25,XV,mixed,veteran,361,0,0:00:00,FIN,Pia-Maria,Ahlfors,FIN,Jukka,Matilainen,,,
26,MV,men,veteran,358,0,0:00:00,FIN,Juha,Roivainen,FIN,Jukka,Toivari,,,
27,XO,mixed,open,354,0,0:00:00,FIN,Bruno Aleksi,Keskinen,FIN,Riina,Rautelin,,,
28,XY,mixed,youth,352,0,0:00:00,UKR,Yelyzaveta,Zaitseva,UKR,Ivan,Romanenko,,,
29,XO,mixed,open,350,0,0:00:00,FIN,Toni,Laurila,FIN,Petra,Poutiainen,,,
30,MO,men,open,336,0,0:00:00,FIN,Matti,Kallio,FIN,Mika,Virtanen,,,
31,WV,women,veteran,331,0,0:00:00,FIN,Anu,Vesisenaho,FIN,Tarja,Törmikoski,FIN,Ulla,Heinonen
32,XV,mixed,veteran,331,0,0:00:00,FIN,Kaisa,Reinius,FIN,Harri,Nieminen,,,
33,MO,men,open,330,0,0:00:00,FIN,Lauri,Sutinen,FIN,Jussi,Niilahti,,,
34,WO,women,open,326,0,0:00:00,FIN,Essi,Kostiainen,FIN,Kaisa,Kurvinen,,,
35,XSV,mixed,superveteran,312,0,0:00:00,EST,Jaan,Ainelo,EST,Virve,Ein,,,
36,WV,women,veteran,309,0,0:00:00,LAT,Gunta,Bluzma,LAT,Laura,Mazmaca,,,
