name;age;gender;penalty;time;status;score;id;member1country;member1lastname;member1firstname;member2country;member2lastname;member2firstname;member3country;member3lastname;member3firstname
Ilmäraeksimatud;open;men;0;23:50:41;;434;312;EST;Mirme;Sander;EST;Ansko;Ilmar
2 slapji krekli;veteran;mixed;0;23:59:49;;417;806;LAT;Liepiņa;Anita;LAT;Kaminskis;Valters
Carpe Diem! PRO;veteran;men;0;23:58:20;;379;610;LAT;Hiie;Armo;LAT;Lehtla;Reigo
GuN 2014;veteran;men;0;23:45:28;;370;606;LAT;Lucāns;Nikolajs;LAT;Pikurs;Gumtis
Isostar;open;mixed;0;23:57:54;;346;514;LAT;Mankus;Guntars;LAT;Puķīte;Irita
MonaV;veteran;mixed;-1;24:00:25;;345;801;LAT;Ozola;Baiba;LAT;Nāgelis;Jānis
Liedagi-35;open;mixed;0;23:57:59;;335;513;LAT;Precinieks;Fadejs;LAT;Preciniece;Zelma
sa DUBRA;veteran;men;0;22:55:10;;330;604;LAT;Brasavs-Muižnieks;Zintis;LAT;Dude;Guntis
Concorde;veteran;men;0;23:50:21;;327;605;LAT;Portnajs;Ingus;LAT;Masteiko;Einārs
30draugi.lv/Ziemeļkurzeme OK;open;mixed;0;23:37:19;;324;501;LAT;Klepers;Uldis;LAT;Klepere;Aiva
Elfi;superveteran;mixed;0;23:27:31;;319;1102;LAT;Čaklis;Imants;LAT;Ābola;Alīda
89;veteran;men;0;23:37:26;;317;607;LAT;Druķis;Pēteris;LAT;Skrubis;Ainārs
Divi Auni;open;mixed;0;21:31:24;;303;515;LAT;Siegert;Inga;LAT;Piirisild;Tõnis
Pusdienas ārpus mājas;open;men;0;23:30:21;;299;310;LAT;Putnis;Aigars;LAT;Malzubris;Mārtiņš;LAT;Mitčenko;Juris
Enkura turētāji;open;men;0;22:51:58;;298;313;LAT;Frišfelds;Vilnis;LAT;Jasāns;Alberts
