id,age,gender,score,time,penalty,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname
1,veteran,men,434,23:35:18,0,,EST,Reigo,Lehtla,RUS,Alexander,Tonis,,,
2,open,men,432,23:48:53,0,,LAT,Einārs,Masteiko,LAT,Ingus,Portnajs,LAT,Zigmunds,Bībers
3,open,mixed,425,23:05:31,0,,LAT,Pēteris,Grīviņš,LAT,Ieva,Upmace-Grīviņa,,,
4,open,men,415,23:37:47,0,,LAT,Sandis,Pētersons,LAT,Didzis,Rozenbergs,,,
5,open,men,415,23:44:27,0,,LAT,Guntis,Šmaukstelis,LAT,Miķelis,Zumbergs,,,
6,veteran,mixed,403,23:30:40,0,,LAT,Valters,Kaminskis,LAT,Anita,Liepiņa,,,
7,open,mixed,396,23:49:29,0,,LAT,Fadejs,Precinieks,LAT,Zelma,Preciniece,,,
8,open,men,384,22:23:19,0,,EST,Siim,Klais,EST,Martin,Kala,,,
9,veteran,men,378,23:28:17,0,,LAT,Viesturs,Šlosbergs,LAT,Renārs,Skudra,,,
10,open,men,377,23:12:01,0,,LAT,Vilnis,Frišfelds,LAT,Mārtiņš,Krūze,,,
11,open,mixed,370,23:42:45,0,,LAT,Oskars,Bartuševics,LAT,Aija,Bartuševica,,,
12,open,mixed,366,23:56:07,0,,LAT,Aiga,Tora,LAT,Armands,Broks,,,
13,veteran,mixed,354,23:49:15,0,,LAT,Baiba,Ozola,LAT,Jānis,Nāgelis,,,
14,open,mixed,348,23:07:06,0,,LAT,Andis,Rešķis,LAT,Ilze,Cahrausa,,,
15,open,women,348,23:27:18,0,,LAT,Sandra,Priedīte,LAT,Alda,Bražūne,,,
16,open,mixed,341,23:47:20,0,,LAT,Madara,Apsalone,LAT,Jānis,Kalniņš,LAT,Ieva,Grauduma
17,veteran,men,326,23:16:45,0,,LAT,Arvis,Zvanītājs,LAT,Austris,Lepiksons,,,
18,veteran,men,326,23:27:24,0,,LAT,Edgars,Peičs,LAT,Arvīds,Ozoliņš,,,
19,open,mixed,326,23:34:05,0,,LAT,Valdis,Gabrāns,LAT,Ieva,Biedrīte,,,
20,superveteran,men,320,23:35:23,0,,EST,Sulev,Kuiv,LAT,Ēvalds,Žogla,,,
21,veteran,women,317,23:40:52,0,,LAT,Indra,Segliņa,LAT,Ieva,Vītoliņa,,,
22,open,men,316,23:11:18,0,,LAT,Kalvis,Upītis,LAT,Andis,Komarovs,,,
23,veteran,women,312,23:39:08,0,,LAT,Ilze,Krēmere,LAT,Ieva,Simsone,,,
24,open,men,310,21:49:48,0,,LAT,Gatis,Gaņģītis,LAT,Juris,Pētersons,,,
25,ultraveteran,men,305,23:49:22,0,,LAT,Juris,Drunka,LAT,Helmuts,Lukačovs,,,
26,veteran,women,301,23:21:20,0,,LAT,Iveta,Zāģere,LAT,Inese,Bērziņa,,,
