duration,name,gender,age,penalty,time,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname
24,Divi Gunti,men,open,0,22:43:36,414,1,LAT,Šmaukstelis,Guntis,LAT,Māliņš,Guntis,,,
24,BEZ STRESA,men,veteran,0,23:44:19,361,2,LAT,Šlosbergs,Viesturs,LAT,Skudra,Renārs,,,
24,Kad dzīvot sagribas,men,open,0,23:48:42,359,3,LAT,Lauders,Kārlis,LAT,Bergmanis,Toms,,,
24,PL,mixed,open,0,23:48:02,348,4,LAT,Pētersons,Sandis,LAT,Liepiņa,Ieva,,,
24,Jenota slapjās bikses,men,open,0,23:53:43,336,5,LAT,Zumbergs,Miķelis,LAT,Grāmatnieks,Jānis,,,
24,Āpsis ar ventilatoru,mixed,veteran,0,23:33:16,320,6,LAT,Bartuševica,Aija,LAT,Bartuševics,Oskars,,,
24,Liedagi-35,mixed,open,0,23:46:59,314,7,LAT,Precinieks,Fadejs,LAT,Preciniece,Zelma,,,
24,Davaičiki zaičiki,women,open,0,23:38:08,312,8,LAT,Berķe,Līga,LAT,Dzirkale,Zane,,,
24,Dzintars matos,women,veteran,0,23:52:41,310,9,LAT,Kadaša,Kristīne,LAT,Brazauska,Gunta,,,
24,X-Country team,men,superveteran,0,23:12:58,306,10,LAT,Žogla,Ēvalds,EST,Kuiv,Sulev,,,
24,Aktīvā direktorija,mixed,open,0,22:52:00,304,11,LAT,Šapkus,Didzis,LAT,Svikle,Aija,,,
24,Jaak Rohtsalu,men,superveteran,0,23:41:19,304,12,EST,Rohtsalu,Jaak,EST,Pritsik,Aleksander,,,
24,Maldugunij pa pēdām,mixed,open,0,23:44:41,301,13,LAT,Zaķis,Edgars,LAT,Treulande,Natālija,,,
24,TRUE STORY,men,ultraveteran,0,23:11:19,296,14,LAT,Laveiķis,Rolands,LAT,Turks,Jānis,,,
24,Abinieki,mixed,open,0,23:45:39,296,15,LAT,Apsalone,Madara,LAT,Grauduma,Ieva,LAT,Kalniņš,Jānis
24,Latvietes.,women,veteran,0,23:31:54,294,16,LAT,Blūma,Santa,LAT,Šlosberga,Lāsma,,,
24,Jauna riepa,mixed,veteran,0,23:44:14,294,17,LAT,Gruberte,Zane,LAT,Žilinskis,Guntars,,,
24,Jugla,mixed,superveteran,0,23:49:11,292,18,LAT,Zariņš,Juris,LAT,Zariņa,Līga,,,
24,Dzintarlapsas,women,veteran,0,23:25:38,291,19,LAT,Krēmere,Ilze,LAT,Simsone,Ieva,,,
24,Čubīšu Grava,men,open,4,0:03:44,291,20,LAT,Svilpe,Klāvs,LAT,Prulis-Munda,Edgars,,,
24,Vecbrāļi,men,superveteran,0,23:22:33,285,21,LAT,Dude,Guntis,LAT,Dude,Viesturs,,,
24,Saulkrasti Showel Racing Team,mixed,veteran,0,23:48:29,279,22,LAT,Brakovska,Sniedze,LAT,Pāķis,Eduards,,,
24,eBIOpower,men,open,0,23:34:21,277,23,LAT,Gaņģītis,Gatis,LAT,Pētersons,Juris,,,
24,Vidzemnieču piedzīvojums,women,veteran,0,23:37:58,271,24,LAT,Baranovska,Nora,LAT,Adata,Jana,,,
24,Kā lai šonakt...,women,veteran,0,23:31:48,269,25,LAT,Ikšele,Dace,LAT,Ābelniece,Līga,,,
24,Turkuciems,mixed,superveteran,0,23:39:19,269,26,LAT,Jurāne,Gundega,LAT,Otaņķe,Skaidrīte,LAT,Švirksts,Juris
24,Azimuts,men,ultraveteran,0,23:32:02,268,27,LAT,Biezais,Jānis,LAT,Krauklis,Vairis,,,
