id,age,gender,penalty,time,status,score,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
1,open,men,0,23:51:19,,3100,NZL,Timothy,Farrant,NZL,Tane,Cambridge,,,,,,
2,open,men,0,23:57:53,,2900,NZL,Greig,Hamilton,NZL,Steve,O'Neill,,,,,,
3,open,men,0,23:51:21,,2690,NZL,Sam,Walton,NZL,Angus,Watson,,,,,,
5,open,women,0,22:40:04,,2440,NZL,Georgia,Whitla,NZL,Lara,Scott,,,,,,
7,veteran,men,0,23:30:27,,2200,NZL,Richard,Persson,NZL,Kelvin,Thiele,,,,,,
8,veteran,mixed,0,23:15:00,,1930,NZL,Keri,Devine,NZL,Robert,Smith,,,,,,
9,veteran,men,80,24:03:56,,1920,NZL,Craig,Pelvin,NZL,Ben,Ludgate,,,,,,
10,superveteran,men,0,23:16:11,,1880,NZL,Mike,Harding,NZL,Peter,Cleary,,,,,,
11,veteran,men,0,22:49:31,,1860,NZL,Richard,Mackley,NZL,Warren,Bates,,,,,,
12,veteran,mixed,0,23:06:30,,1860,AUS,Antonia,Bachvarova,AUS,Andrew,Smith,,,,,,
13,veteran,mixed,0,23:54:03,,1860,NZL,Rob,Harrow,NZL,Jo,Forbes,,,,,,
14,open,mixed,0,23:43:58,,1780,NZL,Sharon,Lequeux,NZL,Peter,Montgomery,,,,,,
15,open,mixed,0,23:51:29,,1770,NZL,Glen,Warner,NZL,Nicole,Ranger,,,,,,
16,veteran,men,0,22:41:18,,1740,NZL,Blair,Simpson,NZL,Sakkie,Meyer,,,,,,
17,youth,men,0,23:58:24,,1740,NZL,Will,Jones,NZL,Thomas,Wallace,NZL,Blake,Shirley,NZL,Jonny,Pethybridge
18,open,men,0,17:39:01,,1650,NZL,Martin,Peat,NZL,Andrew,Peat,,,,,,
19,veteran,men,0,23:53:30,,1650,NZL,Rolf,Boswell,NZL,Jason,Mouat,,,,,,
20,superveteran,mixed,0,23:42:38,,1620,NZL,Dennis,Litt,NZL,Mark,Struthers,NZL,Annette,Windross,,,
21,veteran,men,0,21:51:55,,1600,NZL,Mark,Wallace,NZL,Allister,Adams,,,,,,
22,ultraveteran,men,0,23:53:03,,1600,NZL,Richard,McIntosh,NZL,Richard,Shields,,,,,,
23,superveteran,men,0,23:32:30,,1580,NZL,Colin,Dixon,NZL,Douglas,Woods,,,,,,
24,open,men,0,23:25:16,,1550,NZL,Nathan,Hay,NZL,Kieran,Sutherland,,,,,,
25,open,mixed,0,22:45:04,,1540,NZL,Aliesha,Pile,NZL,Daniel,Jessop,,,,,,
26,veteran,mixed,0,23:32:35,,1430,NZL,Leon,Perrie,NZL,Lara,Shepherd,,,,,,
27,veteran,mixed,0,21:27:58,,1420,NZL,Hedley,Meacheam,NZL,Sarah,Millar,,,,,,
28,superveteran,men,0,23:28:17,,1420,NZL,Ross,Friedrich,NZL,Baden,Bickers,,,,,,
30,veteran,women,0,22:57:15,,1300,NZL,Claire,Chatterton,NZL,Anne,Murphy,NZL,Michelle,McConnon,,,
32,open,women,0,22:55:24,,1270,NZL,Annelies,Inghelbrecht,NZL,Sophie,Mccarroll,,,,,,
33,open,men,0,18:19:56,,1240,NZL,Matthew,Dick,NZL,Pieter,Brits,,,,,,
34,open,mixed,0,21:25:03,,1230,NZL,Catherine,Neeley,NZL,Ric,Sherlock,,,,,,
35,open,men,0,21:03:37,,1220,NZL,Mac,McCulloch,NZL,Deryk,Cleland,NZL,Ben,Winmill,,,
36,superveteran,women,0,23:11:19,,1220,NZL,Val,Rogers,NZL,Kathrin,Mueller,,,,,,
37,veteran,mixed,0,20:53:19,,1210,NZL,Destry,Harte,AUS,Elizabeth,Woodgate,,,,,,
38,superveteran,women,0,23:15:29,,1210,NZL,Josie,Boland,NZL,Viv,Prince,,,,,,
39,superveteran,men,140,24:06:29,,1170,NZL,Alister,Metherell,NZL,Dave,Armstrong,,,,,,
40,open,mixed,0,20:33:41,,1160,NZL,Vetti,Fawcett,NZL,Alex,Morgan,,,,,,
41,veteran,women,0,23:42:15,,1150,NZL,Chris,Dixon,NZL,Caroline,Elliott,,,,,,
43,open,mixed,0,13:59:33,,1080,NZL,Dave,Dixon,NZL,Shonagh,North,NZL,Chris,Higgs,NZL,Ciaran,Thayer
44,superveteran,mixed,0,21:56:20,,970,NZL,Liz,Millow,NZL,Trevor,Merrifield,NZL,Wayne,Millow,,,
45,veteran,men,0,18:26:32,,940,NZL,Michael,Wood,NZL,Darrell,Thomson,,,,,,
47,youth,women,0,21:14:45,,890,NZL,Sophie,Harrison,NZL,Brianna,Steven,,,,,,
48,open,men,0,22:33:20,,890,NZL,James,Robertson,NZL,William,Robertson,,,,,,
49,superveteran,mixed,0,14:49:06,,880,NZL,Guy,de Lacey,NZL,Emma,de Lacey,NZL,,,,,
50,veteran,mixed,0,13:37:52,,860,NZL,Johnny,Lock,NZL,Sarah,Anderson,,,,,,
51,superveteran,men,0,12:14:51,,810,NZL,Peter,Jackson,NZL,Vincent,Pooch,,,,,,
52,veteran,women,0,13:21:47,,760,NZL,Lynda,Watson,NZL,Paulette,Birchfield,,,,,,
53,open,mixed,0,22:02:55,,740,NZL,Ahmad,Abu-Aysha,NZL,Catherine,Low,NZL,Lisa-Mareike,Ottenhaus,,,
54,open,mixed,0,17:28:32,,730,NZL,Alice,Perry,NZL,Alan,Harvey,,,,,,
56,ultraveteran,mixed,0,23:22:35,,670,NZL,Pete,Squires,NZL,Anne,Kennedy,,,,,,
57,veteran,mixed,0,22:31:04,,630,NZL,Jeni,Pelvin,NZL,Tim,Easterbrook,,,,,,
58,open,mixed,0,09:58:23,,610,NZL,Sarah,Browne,NZL,Mark,Howard,,,,,,
59,ultraveteran,mixed,0,22:13:55,,550,NZL,David,Wall,NZL,Frances,Wall,,,,,,
61,open,men,0,00:00:00,withdrawn,810,NZL,Simon,Rea,NZL,Derek,Morrison,,,,,,
62,open,women,0,00:00:00,withdrawn,880,NZL,Jenni,Blyleven,NZL,Suzanne,McLister,,,,,,
