age,gender,time,penalty,score,status,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
open,mixed,23:41:56,0,347,,1,RUS,Miroshkin,Nikolay,RUS,Korobko,Anna,RUS,Shemyatikhin,Dmitriy,,,
open,men,23:39:11,0,342,,2,RUS,Kalinin,Oleg,RUS,Solovyev,Konstantin,,,,,,
open,men,23:41:41,0,340,,3,RUS,Perminov,Kirill,RUS,Zhiganov,Anton,,,,,,
open,men,23:36:37,0,330,,4,RUS,Yakimov,Semyon,RUS,Efimov,Andrey,,,,,,
open,mixed,23:47:53,0,326,,5,RUS,Miroshkin,Sergey,RUS,Abramova,Natalia,RUS,Tonis,Alexander,,,
open,men,23:30:20,0,316,,6,RUS,Королев,Алексей,RUS,Коднев,Даниил,,,,,,
open,men,23:28:24,0,301,,7,RUS,Микрюков,Иван,RUS,Гиматов,Ильдар,,,,,,
veteran,men,23:39:08,0,295,,8,RUS,Константинов,Сергей,RUS,Цветков,Антон,RUS,Груздев,Владимир,,,
open,men,23:54:31,0,295,,9,RUS,Илгач,Георгий,RUS,Таболин,Юрий,,,,,,
open,mixed,23:24:48,0,284,,10,RUS,Кравченко,Инна,RUS,Темяков,Андрей,,,,,,
open,mixed,23:40:47,0,282,,11,RUS,Рябченкова,Алевтина,RUS,Мартынов,Дмитрий,,,,,,
open,mixed,23:52:55,0,277,,12,RUS,Шешуков,Александр,RUS,Павлова,Анна,,,,,,
open,men,23:44:12,0,274,,13,RUS,Куликов,Роман,RUS,Курчаков,Вячеслав,,,,,,
open,mixed,23:25:46,0,271,,14,RUS,Якунин,Юрий,RUS,Хазова,Ольга,,,,,,
veteran,women,23:46:49,0,265,,15,RUS,Mikheeva,Nina,RUS,Galkina,Marina,,,,,,
veteran,mixed,23:28:21,0,263,,16,RUS,Михайлов,Владимир,RUS,Михайлова,Валентина,,,,,,
veteran,mixed,23:51:01,0,262,,17,RUS,Семичев,Игорь,RUS,Шведова,Валентина,,,,,,
veteran,men,23:37:25,0,260,,18,RUS,Дубовой,Денис,RUS,Кузьминых,Николай,,,,,,
open,mixed,23:29:10,0,258,,19,RUS,Колесова,Альбина,RUS,Теплинский,Игорь,,,,,,
open,mixed,23:57:43,0,256,,20,RUS,Петухова,Дарья,RUS,Петухов,Олег,RUS,Горячкин,Андрей,,,
veteran,mixed,23:58:13,0,255,,21,RUS,Сафонова,Ирина,RUS,Сафонов,Александр,,,,,,
open,mixed,23:13:43,0,251,,22,RUS,Попов,Роман,RUS,Соломеннова,Анастасия,,,,,,
veteran,men,23:43:38,0,251,,23,RUS,Димитров,Борис,RUS,Анисимов,Вадим,,,,,,
open,women,23:34:53,0,249,,24,RUS,Nikoforova,Anna,RUS,Sergeytcheva,Alena,,,,,,
superveteran,men,23:53:12,0,248,,25,RUS,Лукин,Михаил,RUS,Чернышов,Игорь,,,,,,
open,women,23:50:10,0,246,,26,RUS,Моисеева,Анна,RUS,Веселкова,Дарья,,,,,,
veteran,men,23:45:27,0,245,,27,RUS,Смазнев,Сергей,RUS,Казанцев,Дмитрий,,,,,,
open,mixed,23:54:03,0,237,,28,RUS,Долгополова,Катерина,RUS,Юсупов,Альберт,RUS,Смотраков,Сергей,,,
open,mixed,23:24:30,0,235,,29,RUS,Богатырев,Михаил,RUS,Кудрявцев,Александр,RUS,Макарова,Наталья,,,
veteran,men,23:35:20,0,235,,30,RUS,Беляков,Антон,RUS,Романов,Владимир,,,,,,
open,mixed,23:18:27,0,234,,31,RUS,Аникин,Игорь,RUS,Аникина,Елена,,,,,,
superveteran,men,23:53:00,0,233,,32,RUS,Щепанюк,Тадеуш,RUS,Тохтуев,Владимир,,,,,,
veteran,men,23:32:15,0,232,,33,RUS,Максимов,Владимир,RUS,Черный,Михаил,,,,,,
open,mixed,22:20:44,0,231,,34,RUS,Козлов,Алексей,RUS,Ермакова,Надежда,,,,,,
open,men,23:41:07,0,231,,35,RUS,Попов,Алексей,RUS,Панфилов,Андрей,,,,,,
open,mixed,23:25:31,0,228,,36,RUS,Перфильев,Алексей,RUS,Просвирина,Дарья,,,,,,
veteran,women,23:47:12,0,222,,37,RUS,Авраменко,Анна,RUS,Миронова,Илона,,,,,,
open,men,20:24:08,0,220,,38,RUS,Творогов,Антон,RUS,Хрящев,Глеб,,,,,,
open,men,21:20:19,0,220,,39,RUS,Иноземцев,Антон,RUS,Казаков,Алексей,,,,,,
open,mixed,22:59:29,0,218,,40,RUS,Колесов,Сергей,RUS,Кнотько,Вера,RUS,Рощин,Роман,,,
superveteran,men,23:41:15,0,211,,41,RUS,Комин,Игорь,RUS,Черкесов,Сергей,RUS,Копелевич,Александр,,,
superveteran,mixed,23:51:41,0,208,,42,RUS,Анна,Бойко,RUS,Жегусов,Олег,,,,,,
superveteran,men,23:37:47,0,207,,43,RUS,Губашов,Валерий,RUS,Караганов,Вадим,,,,,,
veteran,mixed,23:42:21,0,205,,44,RUS,Кротенко,Вячеслав,RUS,Сосницкая,Анна,RUS,Кратенко,Владимир,,,
veteran,mixed,23:40:19,0,204,,45,RUS,Терёшин,Сергей,RUS,Мизонова,Вера,,,,,,
open,men,22:44:47,0,203,,46,RUS,Сметана,Станислав,RUS,Чубаров,Илья,,,,,,
veteran,mixed,23:52:00,0,201,,47,LAT,Чакле,Илзе,LAT,Чаклис,Имантс,,,,,,
open,mixed,23:16:49,0,200,,48,RUS,Отачкин,Алексей,RUS,Яровитчук,Евгения,,,,,,
