id,age,gender,time,penalty,score,status,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,member4country,member4firstname,member4lastname
1,open,men,23:50:20,0,532,,RUS,Dmitriy,Shemyatikhin,RUS,Sergey,Miroshkin,RUS,Nikolay,Miroshkin,,,
2,open,men,23:43:23,0,525,,RUS,Konstantin,Ivanov,RUS,Dmitriy,Panov,,,,,,
3,open,men,23:53:26,0,523,,RUS,Oleg,Kalinin,RUS,Alexey,Korolev,,,,,,
4,open,men,23:46:23,0,484,,RUS,Станислав,Сабокарь,RUS,Антон,Жиганов,,,,,,
5,open,men,23:47:41,0,466,,RUS,Ильдар,Гиматов,RUS,Иван,Микрюков,,,,,,
6,open,mixed,24:00:58,1,460,,RUS,Sergey,Pikuz,RUS,Ekaterina,Menshova,,,,,,
7,veteran,men,23:52:59,0,455,,RUS,Александр,Тонис,RUS,Рейго,Лехтла,,,,,,
8,veteran,men,23:47:50,0,446,,RUS,Алексей,Козлов,RUS,Сергей,Константинов,,,,,,
9,open,men,23:56:42,0,425,,RUS,Роман,Куликов,RUS,Павел,Забабуркин,,,,,,
10,open,mixed,23:51:01,0,416,,RUS,Dmitriy,Martynov,RUS,Yana,Kudryavtseva,RUS,Alexander,Sheshukov,,,
11,open,men,23:47:57,0,388,,RUS,Андрей,Иванов,RUS,Андрей,Троицкий,,,,,,
12,veteran,mixed,23:48:43,0,387,,RUS,Alexander,Safonov,RUS,Irina,Safonova,,,,,,
13,open,men,23:49:15,0,368,,RUS,Всеволод,Самарцев,RUS,Павел,Сорокин,,,,,,
14,open,men,23:59:56,0,363,,RUS,Антон,Хозов,RUS,Алексей,Назаров,,,,,,
15,veteran,men,24:01:40,2,361,,RUS,Леонид,Волков,RUS,Сергей,Вельмогин,,,,,,
16,superveteran,mixed,23:55:02,0,353,,RUS,Александр,Кротков,RUS,Ольга,Соколова,,,,,,
17,open,mixed,23:51:33,0,352,,RUS,Михаил,Горбунов,RUS,Василь,Юсуфкулов,RUS,Кристина,Меньшикова,,,
18,open,men,23:14:48,0,351,,RUS,Роман,Рощин,RUS,Сергей,Колесов,,,,,,
19,veteran,mixed,23:57:12,0,347,,RUS,Игорь,Семичев,RUS,Валентина,Шведова,,,,,,
20,open,mixed,23:36:02,0,343,,RUS,Игорь,Аникин,RUS,Елена,Аникина,,,,,,
21,open,mixed,23:53:37,0,327,,RUS,Андрей,Горячкин,RUS,Ольга,Хвостикова,,,,,,
22,open,men,23:28:46,0,321,,RUS,Степан,Кокарев,RUS,Сергей,Быков,,,,,,
23,veteran,men,23:58:13,0,320,,RUS,Сергей,Смазнев,RUS,Дмитрий,Казанцев,,,,,,
24,veteran,men,23:53:44,0,303,,RUS,Борис,Димитров,RUS,Вадим,Анисимов,,,,,,
25,open,mixed,23:32:17,0,292,,RUS,Михаил,Глухов,RUS,Эльмира,Фатихова,,,,,,
26,veteran,women,23:56:39,0,289,,RUS,Nina,Mikheeva,RUS,Elena,Rudenko,,,,,,
27,open,men,23:38:46,0,288,,RUS,Максим,Пинчук,RUS,Максим,Благов,,,,,,
28,veteran,women,23:45:05,0,286,,RUS,Evgenia ,Tsvetkova,RUS,Svetlana,Palutina,,,,,,
29,superveteran,men,23:42:49,0,284,,RUS,Александр,Копелевич,RUS,Александр,Бакшеев,,,,,,
30,open,mixed,23:35:25,0,277,,RUS,Светлана,Лазарева,RUS,Алексей,Посадский,,,,,,
31,superveteran,men,23:14:24,0,276,,RUS,Потапаев,Александр,RUS,Алексей,Самойлов,,,,,,
32,veteran,mixed,23:52:40,0,276,,RUS,Нина,Шевченко,RUS,Александр,Бац,,,,,,
33,open,men,23:20:58,0,274,,RUS,Кирилл,Казаков,RUS,Антон,Королев,,,,,,
34,superveteran,mixed,23:58:18,0,274,,RUS,Олег,Жегусов,RUS,Анна,Бойко,,,,,,
35,veteran,women,23:41:52,0,272,,RUS,Vera,Mizonova,RUS,Elena,Danilitcheva,,,,,,
36,open,mixed,23:40:25,0,265,,RUS,Алексей,Мартынов,RUS,Анна,Мартынова,,,,,,
37,open,mixed,23:43:32,0,260,,RUS,Николай,Кузнецов,RUS,Александра,Зендрикова,,,,,,
38,open,men,18:44:12,0,249,,RUS,Алексей,Васильев,RUS,Роман,Ильиных,,,,,,
39,open,women,23:35:17,0,248,,RUS,Мария,Петрук,RUS,Олеся,Сабокарь,,,,,,
40,open,men,23:31:49,0,240,,RUS,Евгений,Рябов,RUS,Алексей,Кузовков,RUS,Андрей,Родин,,,
41,veteran,mixed,23:09:41,0,231,,RUS,Александр,Филимонов,RUS,Миляуша,Сахапова,,,,,,
42,veteran,mixed,23:40:34,0,227,,RUS,Анастасия,Зубалий,RUS,Михаил,Никонов,,,,,,
43,veteran,mixed,23:12:51,0,218,,RUS,Наталья,Чужова,RUS,Константин,Халдин,,,,,,
44,open,women,23:48:21,0,217,,RUS,Светлана,Савельева,RUS,Елена,Самошкина,,,,,,
45,veteran,men,23:50:00,0,215,,RUS,Сергей,Латынцев,RUS,Дмитрий,Иштыбаев,,,,,,
46,open,mixed,18:37:03,0,213,,RUS,Анна,Моисеева,RUS,Виктор,Макаров,,,,,,
47,open,men,23:34:15,0,213,,RUS,Самсон,Шошин,RUS,Даниил,Мустафин,,,,,,
