name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,member4country,member4lastname,member4firstname
"Дети Болот, Москва ЮВАО
",open,men,0,23:47:38,,320,21,RUS,Miroshkin,Sergey,RUS,Miroshkin,Nikolay,RUS,Shemyatikhin,Dmitriy,RUS,Panov,Dmitriy
"Светлый призрак, Москва
",veteran,men,0,23:54:03,,289,76,RUS,Tonis,Alexander,RUS,Demeshchik,Pavel,,,,,,
"Королев - Любимов, Нижний Новгород",open,men,0,23:43:42,,287,25,RUS,Korolev,Alexey,RUS,Lyubimov,Evgeniy,,,,,,
"Blizzard/Omega, Москва ЦАО
",open,men,0,23:56:30,,284,12,RUS,Калинин,Олег,RUS,Якимов,Семён,,,,,,
"Москва СВАО, лично",open,mixed,0,23:51:15,,283,45,RUS,Pikuz,Sergey,RUS,Menshova,Ekaterina,RUS,Kulikov,Roman,,,
"КАиС МЭИ, Балашиха",open,men,0,23:44:48,,262,23,RUS,Смотраков,Сергей,RUS,Герасимов,Алексей,,,,,,
"Леонова со Сметаной, Москва ЮАО",open,mixed,0,23:48:57,,262,63,RUS,Leonova,Tatiana,RUS,Smetana,Stanislav,RUS,Ivanov,Andrey,,,
"Дюльфернуть до россвета, Москва ’Зіu",open,men,0,23:54:55,,256,22,RUS,Киселев,Александр,RUS,Степанов,Николай,,,,,,
Сарепта-Балашов,open,mixed,0,23:55:13,,250,78,RUS,Solomennova,Anastasia,RUS,Kodnev,Daniil,,,,,,
"ГС МФТИ, Долгопрудный",open,mixed,0,23:08:06,,247,57,RUS,Волков,Михаил,RUS,Георгиева,Марина,RUS,Забабуркин,Павел,,,
"StruGGle, р-н Калининский, Ленинградская обл
",open,men,0,23:58:14,,247,16,RUS,Илгач,Георгий,RUS,Новиков,Павел,RUS,Глебов,Сергей,,,
"ADS OPEN, Казань",open,men,0,23:51:00,,246,11,RUS,Иванов,Андрей,RUS,Троицкий,Андрей,,,,,,
"Лесные человеки, Фрязино",veteran,men,0,23:49:03,,245,28,RUS,Кузьминых,Николай,RUS,Дубовой,Денис,,,,,,
"Крылатый батальон, Москва ЗАО",open,men,0,23:45:10,,242,26,RUS,Барановский,Валерий,RUS,Барановский,Сергей,,,,,,
"Троицк, лично",open,mixed,0,23:56:20,,242,46,RUS,Горячкин,Андрей,RUS,Хвостикова,Ольга,,,,,,
"Лично, Московская обл",open,men,0,23:52:36,,241,7,RUS,Столяров,Константин,RUS,Тихонов,Алексей,,,,,,
"Рязань-Приозерье, Рязань",open,mixed,0,23:33:33,,240,70,RUS,Гусев,Борис,RUS,Кратенко,Владимир,RUS,Кротенко,Вячеслав,RUS,Сосницкая,Анна
"Трудовые резервы, р-н Выборгский, Ленинградская обл",superveteran,men,0,23:51:04,,239,37,RUS,Комин,Игорь,RUS,Черкесов,Сергей,,,,,,
