name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname
77_ForestAdventure.r,open,men,0,23:51:52,,306,1,RUS,Panov,Dmitriy,RUS,Jakimov,Semyon,,,
"52_Нижний Новгород,",open,men,0,23:47:05,,271,2,RUS,Korolev,Alexey,RUS,Lyubimov,Evgeniy,,,
"77_Blizzard Team, Мо",open,mixed,0,23:56:04,,251,3,RUS,Mankhay,Natalia,RUS,Mankhay,Igor,RUS,Ivanov,Konstantin
"77_Аура приключений,",open,women,0,23:45:15,,249,4,RUS,Afanasyeva,Anastasia,RUS,Menshova,Ekaterina,,,
"77_TDK, Москва ЦАО",veteran,men,0,23:53:43,,240,5,RUS,Tonis,Alexander,RUS,Kalinin,Oleg,RUS,Demeshchik,Pavel
"16_Казань, лично",open,men,0,23:52:13,,237,6,RUS,Микрюков,Иван,RUS,Перминов,Кирилл,,,
77_Краснознамённый о,open,mixed,0,23:46:20,,228,7,RUS,Leonova,Tatiana,RUS,Smetana,Stanislav,RUS,Ivanov,Andrey
"50_РазВилки, Долгопр",open,men,0,22:52:58,,220,8,RUS,Чапичадзе,Сергей,RUS,Забабуркин,Павел,RUS,Завгородний,Борис
"78_р-н Центральный,",open,men,0,23:29:50,,215,9,RUS,Новиков,Павел,RUS,Пульнев,Марат,,,
"78_Дело не в бороде,",open,mixed,0,23:47:36,,208,10,RUS,Firstova,Anastasia,RUS,Novikov,Artem,,,
"77_Теплый Стан, Моск",veteran,men,0,23:03:57,,203,11,RUS,Колесов,Сергей,RUS,Рощин,Роман,,,
"78_ALKO-STOP, р-н Ку",open,men,18,24:17:12,,203,12,RUS,Глебов,Сергей,RUS,Илгач,Георгий,,,
"16_ADS OPEN, Казань",open,men,0,23:27:24,,199,13,RUS,Троицкий,Андрей,RUS,Иванов,Андрей,,,
"77_Кураган, Москва С",superveteran,mixed,0,23:46:08,,197,14,RUS,Сафонова,Ирина,RUS,Сафонов,Александр,,,
60_Настоящие индейцы,open,men,0,23:47:20,,194,15,RUS,Печёркина,Анастасия,RUS,Кулиненков,Дмитрий,,,
"78_р-н Калининский,",open,men,0,22:42:10,,193,16,RUS,Эдуардов,Александр,RUS,Беляев,Николай,,,
77_Ночью в поле с ло,open,men,0,22:35:13,,190,17,RUS,Самарцев,Всеволод,RUS,Сорокин,Павел,,,
50_Крылатый батальон,open,men,0,23:49:19,,189,18,RUS,Барановский,Валерий,RUS,Барановский,Сергей,,,
"26_MATS, Ставрополь",open,mixed,0,23:57:11,,188,19,RUS,Маркова,Ирина,RUS,Павленко,Константин,,,
78_You Only Live Twi,superveteran,men,0,23:48:10,,186,20,RUS,Комин,Игорь,RUS,Бакшеев,Александр,,,
78_р-н Петродворцовы,open,mixed,0,23:50:59,,182,21,RUS,Корж,Ксения,RUS,Черняев,Степан,,,
"31_MCO-RM, Белгород",veteran,men,0,23:44:25,,181,22,RUS,Димитров,Борис,RUS,Савченко,Вячеслав,,,
"37_Юный радист, Иван",open,men,0,23:27:32,,176,23,RUS,Соколов,Роман,RUS,Гришаев,Владимир,,,
"77_CAMP Russia, Моск",veteran,mixed,0,23:32:29,,175,24,RUS,Авраменко,Анна,RUS,Заикин,Артем,,,
"77_Честная команда,",veteran,men,0,23:42:49,,174,25,RUS,Хабиров,Зинур,RUS,Мальцев,Владислав,,,
"61_Грай, Ростов-на-Д",open,mixed,0,23:32:58,,171,26,RUS,Солодкова,Мария,RUS,Солодков,Дмитрий,,,
"77_Москва ВАО, лично",open,women,0,23:35:13,,166,27,RUS,Moyseyeva,Anna,RUS,Zemlemerova,Elena,,,
78_АзимутСПб/Craft-О,open,men,0,23:37:27,,164,28,RUS,Темнов,Аркадий,RUS,Русаков,Сергей,,,
"77_Два капитана, Мос",open,men,5,24:04:00,,164,29,RUS,Копачевский,Юрий,RUS,Бакулов,Федор,,,
"66_X-promt, Березовс",open,mixed,0,22:31:11,,161,30,RUS,Мартынова,Анна,RUS,Мартынов,Алексей,,,
"78_Мокрый праздник,",veteran,mixed,0,22:38:51,,158,31,RUS,Боревич,Ирина,RUS,Тампель,Антон,,,
"77_Бутовские волки,",open,mixed,0,23:09:51,,158,32,RUS,Шалдышева,Екатерина,RUS,Сатаров,Владислав,,,
"77_Roy Pydreel, Моск",open,mixed,0,23:43:19,,157,33,RUS,Пенева,Евгения,RUS,Коноваленко,Фёдор,RUS,Кудрявцев,Александр
"52_ПафнутийЧебышёв,",open,men,0,22:41:52,,145,34,RUS,Попов,Александр,RUS,Гришин,Павел,,,
"74_Поверь в мечту, С",veteran,mixed,0,23:35:56,,145,35,RUS,Чужова,Наталья,RUS,Халдин,Константин,,,
"77_ЧиЖ, Москва ЗАО",ultraveteran,men,0,23:45:30,,144,36,RUS,Черкесов,Сергей,RUS,Жегусов,Олег,,,
"77_Ни кто кроме нас,",superveteran,men,0,22:58:08,,143,37,RUS,Чернышов,Игорь,RUS,Ягодкин,Геннадий,RUS,Караганов,Вадим
"52_Родственники, Ниж",veteran,mixed,0,23:29:44,,140,38,RUS,Соколова,Ольга,RUS,Константинов,Сергей,,,
"77_Москва, лично",open,mixed,0,20:41:31,,135,39,RUS,Хвостикова,Ольга,RUS,Горячкин,Андрей,,,
"16_Казаночка, Казань",open,mixed,0,21:57:18,,132,40,RUS,Гафарова,Наталья,RUS,Родыгин,Сергей,,,
"50_Лесные человеки,",veteran,men,0,15:05:49,,130,41,RUS,Дубовой,Денис,RUS,Кузьминых,Николай,,,
"60_О-Псков, Псков",open,men,0,23:30:34,,129,42,RUS,Глотов,Дмитрий,RUS,Абросимов,Василий,,,
"50_Группа здоровья,",superveteran,men,0,21:39:59,,127,43,RUS,Тохтуев,Владимир,RUS,Щепанюк,Тадеуш,,,
52_Девчонки хоть куд,veteran,women,0,23:27:45,,127,44,RUS,Zotova,Elena,RUS,Sazonova,Nadezhda,,,
"78_р-н Кировский, ли",superveteran,mixed,0,23:58:36,,127,45,RUS,Крылова,Елена,RUS,Копелевич,Александр,,,
"76_Огонёк, Ярославль",open,women,0,22:16:33,,126,46,RUS,Сторожева,Анастасия,RUS,Патрикеева,Мария,,,
"50_Неутомимые, Любер",open,mixed,0,19:03:43,,121,47,RUS,Кудрявцева,Яна,RUS,Мартынов,Дмитрий,RUS,Шешуков,Александр
"74_magnitka_team, Ма",open,men,0,22:20:41,,120,48,RUS,Полькин,Артём,RUS,Юров,Денис,,,
"52_МЫ, Нижний Новгор",superveteran,women,0,23:24:05,,118,49,RUS,Кривуша,Феоктиста,RUS,Никулина,Марина,,,
"71_Кимовский р-н, ли",open,men,0,16:28:45,,116,50,RUS,Афанасьев,Игорь,RUS,Афанасьев,Алексей,,,
50_Подмосковные овощ,veteran,men,0,19:36:03,,115,51,RUS,Мордвинов,Сергей,RUS,Шмидт,Павел,,,
"61_Гадкие Белки, Бат",open,mixed,0,23:18:14,,115,52,RUS,Иванова,Дарья,RUS,Новикова,Анастасия,RUS,Новиков,Сергей
"61_Очень тихий Дон,",veteran,mixed,0,21:51:43,,113,53,RUS,Гриднева,Ольга,RUS,Гудко,Игорь,,,
"52_Весна-Победа, Ниж",veteran,women,0,23:42:25,,113,54,RUS,Иванова,Альбина,RUS,Творогова,Ольга,,,
"78_Любители, р-н Кал",open,men,0,14:47:35,,112,55,RUS,Сущенко,Сергей,RUS,Таширев,Денис,,,
"77_ELK, Москва ЮЗАО",veteran,men,0,9:56:39,,111,56,RUS,Козлов,Алексей,RUS,Никитин,Леонид,,,
"52_Не все потеряно,",superveteran,men,0,21:55:28,,110,57,RUS,Семичев,Игорь,RUS,Кротков,Александр,,,
"53_НТФК, Чудовский р",veteran,women,0,23:40:12,,110,58,RUS,Давыдова,Юлия,RUS,Жукова,Галина,,,
Лисица и два хромых,veteran,women,0,16:30:57,,109,59,RUS,Михеева,Нина,RUS,Лисица,Светлана,RUS,Руденко,Елена
"52_Нижний Новгород,",veteran,mixed,0,23:37:39,,109,60,RUS,Векслер,Юлия,RUS,Ворончихин,Владимир,,,
"50_Московская обл.,",open,mixed,0,16:40:49,,107,61,RUS,Бригневич,Елена,RUS,Мезрин,Алексей,,,
23_Алёрные ориентиро,open,mixed,0,16:43:44,,107,62,RUS,Битюкова,Анастасия,RUS,Битюков,Андрей,,,
"76_Dream Team, Яросл",open,mixed,0,21:42:26,,107,63,RUS,Сторожева,Дарья,RUS,Сарычев,Антон,,,
"77_ViTa, Москва ЗАО",superveteran,mixed,0,22:24:49,,106,64,RUS,Павлова,Татьяна,RUS,Любин,Виталий,,,
"50_Мытищинский р-н,",veteran,men,0,22:43:54,,103,65,RUS,Рублев,Сергей,RUS,Степанов,Алексей,,,
55_С песней по жизни,veteran,women,0,19:56:26,,97,66,RUS,Зубалий,Анастасия,RUS,Белых,Елена,,,
"12_Легенда, Йошкар-О",ultraveteran,men,0,18:14:28,,96,67,RUS,Смирнов,Иван,RUS,Шигалев,Владимир,,,
"58_СТКП Пенза, Пенза",open,men,0,20:21:04,,96,68,RUS,Стенькин,Николай,RUS,Андриянов,Александр,,,
Бегущий орёл,veteran,men,0,16:44:58,,94,69,RUS,Лукьянчиков,Максим,RUS,Литюга,Илья,,,
"59_Ветер, Пермь",veteran,mixed,0,19:18:13,,91,70,RUS,Фролова,Ольга,RUS,Белоногов,Андрей,,,
"78_Forest Rush, р-н",open,men,0,8:59:31,,85,71,RUS,Выдрин,Антон,RUS,Газар,Газарьянц,,,
"32_Пилигрим, Брянск",open,mixed,0,23:27:49,,85,72,RUS,Крохина,Наталья,RUS,Корсиков,Алексей,,,
"16_Казань, лично",veteran,mixed,0,14:31:27,,84,73,RUS,Сахапова,Миляуша,RUS,Филимонов,Александр,,,
"77_ФАКТ, Москва ЮАО",superveteran,men,0,11:57:20,,83,74,RUS,Юрченко,Андрей,RUS,Пуляев,Александр,,,
"23_ФСТ Новороссийск,",veteran,mixed,0,23:14:47,,83,75,RUS,Гладкова,Светлана,RUS,Селюминов,Геннадий,,,
"77_Москва-Одинцово,",veteran,men,0,13:16:27,,80,76,RUS,Лукин,Сергей,RUS,Комов,Владимир,,,
77_Мастерская счасть,open,mixed,0,13:57:56,,79,77,RUS,Лапина,Анна,RUS,Шилов,Николай,RUS,Пинчук,Максим
"77_НатаНика, Москва",ultraveteran,mixed,0,21:46:08,,78,78,RUS,Помазан,Наталья,RUS,Касаткин,Николай,,,
"78_Zolla, р-н Примор",veteran,women,15,24:14:34,,76,79,RUS,Успенская,Лариса,RUS,Лисиненкова,Елена,RUS,Молоткова,Зоя
"52_Нижний Новгород,",open,mixed,0,7:06:46,,66,80,RUS,Груздева,Ольга,RUS,Груздев,Владимир,,,
"77_Участники, Москва",veteran,men,0,11:58:00,,63,81,RUS,Тамазишвили,Леван,RUS,Ильин,Фёдор,,,
"77_Москва ЮАО, лично",open,mixed,0,8:17:12,,62,82,RUS,Фокина,Марина,RUS,Богатырев,Михаил,,,
"64_hvalin.ru, Хвалын",veteran,men,0,8:51:59,,62,83,RUS,Борисов,Алексей,RUS,Миронов,Сергей,,,
78_Азимут КЕ +МН Сан,ultraveteran,women,0,13:56:58,,61,84,RUS,Кузнецова,Елена,RUS,Минина,Нина,,,
50_NovoPodrezkovo Ro,veteran,mixed,0,6:24:37,,55,85,RUS,Алифирова,Елена,RUS,Юдин,Дмитрий,,,
"23_Ку, Краснодар",veteran,mixed,0,11:58:00,,50,86,RUS,Левченко,Алексей,RUS,Левченко,Татьяна,,,
"77_Москва ВАО, лично",superveteran,women,0,23:04:36,,49,87,RUS,Гончаренко,Наталья,RUS,Боровкова,Марина,,,
"52_Саров, Саров",veteran,mixed,0,7:16:58,,47,88,RUS,Резвова,Татьяна,RUS,Королев,Владимир,,,
"58_CrazyMams, Пенза",open,women,0,6:59:21,,44,89,RUS,Лушникова,Ольга,RUS,Купцова,Ольга,,,
"73_Жареные кактусы,",youth,men,0,20:34:22,,37,90,RUS,Вдовыкин,Семен,RUS,Абрамов,Павел,,,
"52_КоКо, Павловский",open,mixed,0,8:46:29,,33,91,RUS,Комшилова,Маргарита,RUS,Комшилов,Алексей,,,
"59_Алекс, Александро",ultraveteran,mixed,0,23:13:42,,33,92,RUS,Харитонова,Валентина,RUS,Ноздрюкин,Сергей,,,
73_ДДТ 'Астрофизика',open,men,0,20:55:58,,23,93,RUS,Васильев,Сергей,RUS,Анненков,Константин,,,
"73_Пчёлки, Димитровг",youth,women,0,20:54:47,,17,94,RUS,Хитова,Мария,RUS,Вавилина,Полина,RUS,Ишмаева,Валерия
"77_Mercedes-Benz, Мо",open,mixed,0,3:37:39,,16,95,RUS,Острешко,Вера,RUS,Михалев,Алексей,,,
"77_Москва ЮВАО, личн",open,women,0,23:44:08,disqualified,195,96,RUS,Лазарева,Светлана,RUS,Шляпникова,Анна,,,
