id,age,gender,score,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,time,penalty,status
113,youth,women,202,UKR,Anastasia,Basyuk,UKR,Maria,Goenko,,,,21:59:46,0,
126,youth,women,162,UKR,Olha,Ilkova,UKR,Aliona,Nigda,,,,23:39:57,0,
125,youth,women,139,UKR,Irina,Zintchuk,UKR,Anna,Klimtchuk,,,,17:52:13,0,
136,veteran,women,43,UKR,Ольга,Нікітіна,UKR,Валентина,Бевзо,,,,9:01:17,0,
202,youth,women,22,UKR,Анастасія,Кучер,UKR,Ольга,Ожогина,UKR,Віктория,Таран,5:01:53,0,
127,open,mixed,200,UKR,Irina,Voitovich,UKR,Taras,Melnyk,,,,19:07:15,0,
106,open,mixed,199,UKR,Kirilo,Odnokoz,UKR,Olena,Babitch,,,,23:01:09,0,
203,open,mixed,197,UKR,Mihailo,Arsenyuk,UKR,Ganna,Martchenko,UKR,Serhiy,Vasilkov,22:04:18,0,
116,open,mixed,174,UKR,Тетяна,Уфімцева,UKR,Олег,Шиятий,,,,23:49:55,0,
110,open,mixed,129,UKR,Наталія,Тарабановська,UKR,Володимир,Шуняков,,,,21:03:28,0,
109,ultraveteran,mixed,114,UKR,Тетяна,Дрітова,UKR,Юрій,Шур,,,,22:27:55,0,
102,youth,mixed,100,UKR,Василь,Бойко,UKR,Діана,Скородинська,,,,22:11:47,0,
204,youth,mixed,99,UKR,Віктор,Стольніков,UKR,Елизавета,Зайцева,UKR,Олександр,Ілюк,24:00:32,1,
129,superveteran,mixed,93,UKR,Антоніна,Тумак,UKR,Іван,Тумак,,,,11:14:45,0,
128,open,mixed,74,UKR,Дмитро,Кисаков,UKR,Ольга,Кисакова,,,,23:44:05,0,
108,superveteran,mixed,72,UKR,Валерій,Поліщук,UKR,Галина,Поліщук,,,,22:28:23,0,
130,ultraveteran,mixed,69,UKR,Галина,Хоруженко,UKR,Леонид,Хоруженко,,,,23:25:25,0,
207,youth,mixed,76,UKR,Олeг,Ленюк,UKR,Тетяна,Перуняк,UKR,Іван,Бледюк,19:31:31,0,
118,youth,mixed,74,UKR,Сюзанна,Сухарська,UKR,Василь,Цера,,,,19:10:31,0,
201,youth,mixed,66,UKR,Юлія,Попович,UKR,Анастасія,Судик,UKR,Олександр,Худяк,23:55:33,0,
135,youth,mixed,17,UKR,Катерина,Барнич,UKR,Павло,Безрукий,,,,6:05:24,0,
112,open,men,229,UKR,Mykola,Vichtyuk,UKR,Georgiy,Fetcho,,,,23:39:09,0,
115,veteran,men,220,UKR,Sergey,Sirinok,UKR,Volodymyr,Shpetnyy,,,,23:07:04,0,
134,open,men,211,UKR,Orest,Malovanyuk,UKR,Ivan,Andrysyak,,,,22:57:50,0,
104,open,men,210,UKR,Вячеслав,Волобуєв,UKR,Максим,Краснопольський,,,,23:13:57,0,
131,open,men,210,UKR,Андрій,Ткачук,UKR,Богдан,Воробець,,,,23:48:11,0,
105,open,men,207,UKR,Антон,Пуговкін,UKR,Микола,Гоєнко,,,,23:58:54,0,
124,veteran,men,199,UKR,Олександр,Волков,UKR,Віталій,Молодий,,,,23:00:53,0,
107,open,men,197,UKR,Ігор,Сердюк,UKR,Ярослав,Добренький,,,,22:41:13,0,
132,open,men,193,UKR,Богдан,Греля,UKR,Сергій,Середюк,,,,23:49:55,0,
103,superveteran,men,159,UKR,Олександр,Марченко,UKR,Валерій,Шульга,,,,23:11:02,0,
117,youth,men,155,UKR,Вадим,Петрович,UKR,Андрій,Липа,,,,23:41:02,0,
205,open,men,148,UKR,Юрій,Тумак,UKR,Василь,Гуцуляк,UKR,Степан,Гуцуляк,20:18:11,0,
120,open,men,141,UKR,Вагіф,Сурхаєв,UKR,Василь,Бібленко,,,,23:10:54,0,
121,youth,men,140,UKR,Денис,Прохода,UKR,Микита,Чернишов,,,,24:01:47,2,
119,youth,men,131,UKR,Олександр,Грешнов,UKR,Олександр,Колчанов,,,,18:03:11,0,
101,youth,men,128,UKR,Роман,Пшепінда,UKR,Ігор,Веляник,,,,21:30:11,0,
206,open,men,94,UKR,Юрий,Кувайсков,UKR,Сергій,Сур,,,,23:46:55,0,
123,youth,men,90,UKR,Андрій,Василина,UKR,Олег,Пеприк,,,,14:29:30,0,
111,youth,men,81,UKR,Євген,Сафронов,UKR,Артем,Сидоренко,,,,11:54:44,0,
114,ultraveteran,men,61,UKR,Георгій,Бордіян,UKR,Олександр,Краюшин,,,,9:21:33,0,
