name,age,gender,penalty,time,status,score,id,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname
Вместе,open,women,0,23:20:58,,213,1,UKR,Basyuk,Anastasia,UKR,Tishtchenko,Natalia,,,
БУКОВИНА-ЗАКАРПАТТЯ,youth,women,0,23:12:32,,163,2,UKR,Oleksiy,Evgenia,UKR,Ilkova,Olha,,,
On The Way,open,women,0,23:30:52,,152,3,UKR,Grigorieva,Olena,UKR,Pugovkina,Ksenia,UKR,Schcendrina,Yulia
3D,open,women,0,19:35:02,,129,4,UKR,Бондаренко,Ольга,UKR,Бугаец,Юлия,UKR,Вихор,Катерина
Амазонки,open,women,0,22:37:47,,80,5,UKR,Клепикова,Тетяна,UKR,Козаченко,Наталія,,,
Краматорск-Бахмут,youth,women,0,14:30:38,,64,6,UKR,Колмогорова,Аделаїда,UKR,Краснокутська,Таісія,UKR,Мармизко,Єлизавета
Харків,open,women,0,15:35:01,,58,7,UKR,Раменська,Інна,UKR,Раменська,Катерина,,,
Шустрые черепашки,open,women,0,14:40:12,,40,8,UKR,Григор’єва,Ірина,UKR,Опанасенко,Олена,,,
Девчата,youth,women,0,22:02:57,,22,9,UKR,Біла,Наталія,UKR,Губаренко,Анастасія,,,
"""@@""",veteran,mixed,0,23:16:16,,271,10,UKR,Pikhovkina,Polina,UKR,Shpetniy,Volodimir,,,
Bukov Kharakternyky,superveteran,mixed,0,23:34:20,,256,11,UKR,Bevzo,Valentyna,UKR,Lipka,Volodymyr,,,
Fenix team,youth,mixed,0,23:54:56,,248,12,UKR,Hudelaitis,Anna,UKR,Petrivich,Vadim,,,
Smeshariki,open,mixed,0,22:17:34,,216,13,UKR,Бабич,Олена,UKR,Однокоз,Кирило,UKR,Саник,Володимир
VITO,youth,mixed,0,23:37:55,,213,14,UKR,Теліпко,Маргарита,UKR,Валенко,Вячеслав,,,
Strong tandem,open,mixed,0,23:26:35,,203,15,UKR,Луценко,Павло,UKR,Чуприна,Юлія,,,
Мухомор,open,mixed,0,18:43:34,,173,16,UKR,Пустова,Наталiя,UKR,Хасаншин,Ренат,,,
АрСта,open,mixed,0,23:24:14,,160,17,UKR,Назаренко,Станіслав,UKR,Федосєєва,Ірина,,,
Север Гуд,veteran,mixed,0,14:26:28,,138,18,UKR,Гуделайтис,Александр,UKR,Костіна,Олена,,,
Мечтатели,ultraveteran,mixed,0,20:04:15,,134,19,UKR,Колосарь,Юрій,UKR,Литвин,Валентина,UKR,Опанасенко,Микола
Полет,ultraveteran,mixed,1,24:00:56,,134,20,UKR,Бутаков,Юрій,UKR,Хоруженко,Галина,UKR,Хоруженко,Леонид
Ломтики иллюзий,open,mixed,0,18:14:22,,118,21,UKR,Стадник,Вячеслав,UKR,Чернишова,Ганна,,,
Алчевские странники,ultraveteran,mixed,0,23:41:11,,113,22,UKR,Дрітова,Тетяна,UKR,Шур,Юрій,,,
О-Компас Харьтков,open,mixed,0,14:08:17,,103,23,UKR,Самойлова,Олександра,UKR,Мозолевська,Анастасія,UKR,Литвин,Олексій
Зенит-Горизонт Крама,youth,mixed,0,16:54:14,,102,24,UKR,Єфіменкова,Аліна.,UKR,Слепцов,Микита,,,
