id,teamname,age,gender,member1country,member1lastname,member1firstname,member2country,member2lastname,member2firstname,member3country,member3lastname,member3firstname,score,time,penalty
9,В теме,open,mixed,UKR,Surkhayev,Vagif,UKR,Darya,Tomas,,,,280,23:25:58,0
32,FENIX TEAM UKRAINE,open,mixed,UKR,Fetcho,Georgiy,UKR,Hudelaitis,Anna,,,,279,23:35:51,0
18,БуковинаХарактерники,open,mixed,UKR,Bevzo,Valentyna,UKR,Lipka,Volodymyr,,,,267,23:16:47,0
13,@@,open,mixed,UKR,Піховкіна,Поліна,UKR,Шпетний,Володимир,,,,259,23:16:39,0
34,КОДЮСШ УЖГОРОД,open,mixed,UKR,Желізняк,Олександр,UKR,Пеприк,Олег,UKR,Самойлова,Олександра,254,23:56:24,0
36,Dreamers,open,mixed,UKR,Литвин,Валентина,UKR,Опанасенко,Микола,,,,220,23:11:31,0
8,СалоVSмельдоній,open,mixed,UKR,Собчук,Ольга,UKR,Капара,Олена,UKR,Грицюк,Віктор,209,22:14:26,0
7,Дабл,open,mixed,UKR,Зайцева,Елизавета,UKR,Романенко,Іван,,,,209,23:10:56,0
12,Пошук Бахмут,open,mixed,UKR,Бумар,Олексій,UKR,Пруденко,Олена,UKR,Носков,Гліб,208,21:03:42,0
28,Пол-Пол,open,mixed,UKR,Поліщук,Валерій,UKR,Половінко,Світлана,,,,198,22:31:11,0
30,Дпсу4,open,mixed,UKR,Ковріга,Дмитро,UKR,Мусієнко,Наталія,,,,195,22:59:15,0
35,ДимОль,open,mixed,UKR,Кисакова,Ольга,UKR,Кисаков,Дмитрий,,,,192,23:10:21,0
1,Лунатики,open,mixed,UKR,Рублевський,Василь,UKR,Козаченко,Наталія,,,,165,22:48:46,0
2,Полёт,open,mixed,UKR,Хоруженко,Леонид,UKR,Хоруженко,Галина,UKR,Бутаков,Юрій,165,23:09:06,0
20,Буковинці,open,mixed,UKR,Ткач,Дмитро Володимирович,UKR,Кметь,Ірина,,,,156,21:46:37,0
14,Днепр,open,mixed,UKR,Корякова,Валентина,UKR,Мусатов,Володимир,,,,149,22:49:11,0
23,Алчевские странники,open,mixed,UKR,Шур,Юрій,UKR,Дрітова,Тетяна,,,,139,23:14:21,0
