name;age;gender;penalty;time;status;score;id;member1country;member1lastname;member1firstname;member2country;member2lastname;member2firstname;member3country;member3lastname;member3firstname
Estonian ACE Adventure Team;open;men;0;23:56:17;;4040;281;EST;Eensaar;Silver;EST;Eensaar;Rain;EST;Tammemäe;Timmo
Pinola-Jäppinen;open;men;0;23:49:50;;3860;280;FIN;Pinola;Jukka;FIN;Jäppinen;Eero
Kadarbiku Kanged;veteran;mixed;0;23:54:33;;3550;230;EST;Soots;Viivi-Anne;EST;Hallikma;Heiti
Omega-Vipsport.ru;open;men;0;23:55:32;;3530;221;RUS;Kalinin;Oleg;RUS;Shvedov;Andrey
ACE;open;mixed;0;23:55:58;;3430;228;EST;Sulg;Mariann;EST;Lambot;Karli
Quinn Baldwin;veteran;mixed;0;23:34:51;;3410;151;AUS;Quinn;Julie;AUS;Baldwin;David
eco baltia / cesis.lv;veteran;mixed;0;23:54:28;;3310;295;LAT;Liepina;Anita;LAT;Kaminskis;Valters
Dennis and Andrew;open;men;0;23:43:39;;3280;267;USA;Wilkinson;Dennis;USA;Peterson;Andrew
Bulgarian-Latvian Friendship;open;men;0;23:48:01;;3230;173;LAT;Ledins;Peteris;BUL;Nachev;Nikolay
CDNavarra;veteran;men;0;23:41:57;;3220;208;ESP;Pascual;Roberto;ESP;Urquizu;Jorge
Tortoise;veteran;men;0;23:54:18;;3110;217;AUS;Williams;Paul;AUS;Morkel;Andre
Farrant-Whitla;open;mixed;0;23:41:36;;3070;150;NZL;Whitla;Georgia;NZL;Farrant;Tim
OK Kape;open;mixed;0;23:56:54;;3060;294;EST;Loorits;Neeme;EST;Vanjuk;Merike
GJ/WEDALI;open;mixed;0;23:18:08;;3030;172;USA;Bakken;Justin;USA;Chandler;Mari
MerGeo;veteran;men;0;23:52:07;;2970;137;USA;Bone;Eric;USA;Gusiatnikov;Vladimir
DART-nuun;open;men;0;23:43:23;;2910;226;USA;Rinn;Aaron;USA;Hayes;Matt
Eureka;superveteran;men;0;23:24:50;;2840;189;AUS;Gray;Rodney;AUS;Lawford;Geoff
Existential Purple Thunderbolts;veteran;men;0;23:41:24;;2830;201;NZL;Wood;Phil;NZL;Jarvis;Robert
Speedy Goats;veteran;men;0;23:42:46;;2830;187;USA;Masalkov;Vadim;USA;Balter;Greg
SPLAV - X-Race.info;veteran;women;0;23:52:21;;2830;156;RUS;Galkina;Marina;RUS;Mikheeva;Nina
M&M's;open;men;0;23:19:32;;2800;107;RUS;Minakov;Alex;RUS;Minakov;Alexander
No Bruce;superveteran;mixed;0;23:35:10;;2770;143;AUS;Robinson;Richard;NZL;Prince;Vivienne
Untamed Madathlete 2;veteran;men;0;23:52:04;;2710;183;USA;Grimm;Eric
Belgorod;veteran;men;0;23:44:33;;2680;180;RUS;Savchenko;Viatcheslav;RUS;Lukashov;Yuriy
L & K;open;women;0;23:40:59;;2670;136;NZL;Bolt;Katie;NZL;Prince;Lara
TAKA;veteran;men;0;23:49:22;;2660;207;LAT;Ivans;Peteris;LAT;Lisovskis;Normunds
Team Road Trip;open;women;0;23:59:48;;2660;108;CAN;Rehn;Nicki;CAN;Pye;Liza
SUTMAP;veteran;men;0;23:46:40;;2650;259;GBR;Sutcliffe;Jonathan;AUS;Hotchkis;Mike
Bones;veteran;men;0;23:25:56;;2630;224;USA;Quinn;Jason;USA;Malone;Roy
Tim Tam Thor-pedo;veteran;women;0;23:25:30;;2600;144;AUS;Barnes;Tamsin;AUS;Egerton;Thorlene
ISC;superveteran;men;0;23:50:09;;2560;186;EST;Kivikas;Arvo;EST;Tasa;Johannes
Elfi;superveteran;mixed;0;23:56:26;;2560;214;LAT;Caklis;Imants;LAT;Abola;Alida
Alpine Shop;veteran;men;0;23:03:12;;2510;257;USA;Frei;David;USA;Sona;Jeff
Derek and Ted;superveteran;men;0;23:42:21;;2470;268;AUS;van Geldermalsen;Ted;AUS;Morris;Derek
Vignette-MJ;veteran;mixed;0;22:43:27;;2410;164;USA;Beard;Marcy;USA;Beard;John
Hail to the Chimp;open;men;0;23:39:53;;2380;157;CAN;Toms;Brad;CAN;Eaton;Dave
Havacrack;veteran;men;0;17:09:25;;2370;182;AUS;Imbert;Mark;NZL;Sikma;Tim
TEAM Ajari;veteran;mixed;0;23:57:16;;2320;130;JPN;Murakoshi;Shin;JPN;Tajima;Rika
Racey Delaceys;superveteran;mixed;0;23:43:58;;2310;192;NZL;de Lacey;Emma;NZL;de Lacey;Guy
Northern Ghosts;open;mixed;0;23:07:59;;2300;219;CAN;Forseille;Angela;CAN;Lessard;Jean-Michel
Heart of the Woods;open;men;0;23:39:22;;2300;124;USA;Coker;Jeff;USA;DuBois;Michael
KAPA VR;superveteran;mixed;0;22:54:58;;2280;234;LAT;Kukk;Volli;LAT;Kukka;Ruta
Kapa LR;superveteran;mixed;0;23:51:06;;2280;255;LAT;Laveikis;Rolands;LAT;Grunde;Ligita
Sky9;open;men;0;22:57:00;;2270;176;BLR;Kazitov;Maxim;UKR;Tertychnyi;Gennadii
Partaher;superveteran;men;0;23:44:14;;2270;262;CZE;Zdrahal;Tomas;CZE;Herdegen;Ondrej;CZE;Albert;Frantisek
Olaine;superveteran;mixed;0;23:52:49;;2260;202;LAT;Sinke;Juris;LAT;Sinke;Arija
Map Gurus;veteran;men;0;23:10:04;;2200;140;CAN;Colgan;Jeremy;USA;Young;Alan
Rosavtobank;open;mixed;0;23:11:32;;2190;159;RUS;Arzumanov;Alexey;RUS;Ryazanskaya;Nadezda
Here Be Dragons;open;mixed;0;23:57:01;;2160;274;AUS;Watson;Megan;NZL;Harris;Nick
Bimberi;superveteran;mixed;0;23:15:20;;2150;166;AUS;Douglass;Jeannie;AUS;Simpson;Ron
Elixir;veteran;men;0;23:42:29;;2140;250;USA;Feucht;Andrew;USA;Ohlrich;Miles
Team Penalty;veteran;men;0;16:03:04;;2120;242;FIN;Lehtonen;Juha;FIN;Lehtonen;Mika
GearJunkie;open;mixed;0;22:37:02;;2120;253;USA;Karpov;Andrei;USA;Korsch;Emily
Orienteering Utah;open;men;0;23:31:14;;2110;198;USA;Hoag;Ian;USA;Harte;Canice
Cariboo Silvertips;superveteran;men;0;23:51:40;;2100;194;CAN;Chubb;Bryan;CAN;Rankin;Leo
Easy;veteran;mixed;0;18:27:23;;2090;167;LAT;Actins;Aigars;LAT;Lapina;Ilze
Going Halves;superveteran;men;0;23:52:03;;2080;288;NZL;Armstrong;Dave;NZL;Metherell;Alister
Mt Difficult Vets;ultraveteran;men;0;23:36:45;;2070;220;AUS;Dent;Tim;AUS;Taylor;Rob;AUS;Anderson;Graham
Hellarewe Mk II;ultraveteran;men;0;23:37:17;;2050;103;NZL;English;Richard;NZL;Wood;Michael
BRIDA132;superveteran;men;0;23:48:29;;2050;222;CAN;Rennie;Bruce;USA;Harbuck;John
OMEGA;veteran;mixed;0;22:05:37;;2040;287;RUS;Yashchenko;Sergey;RUS;Yashchenko;Maria
Wild Rose;open;men;0;23:33:16;;2030;227;CAN;Jarmula;Bart;CAN;Heilman;James
Aussie Goldpanners;veteran;mixed;0;23:51:22;;2000;246;AUS;Robinson;Helen;AUS;Busch;Graeme
Triangle AR;veteran;men;0;23:23:06;;1990;158;USA;Thompson;Brian;USA;Butler;Sean;USA;Eaglin;Ron
4L;veteran;mixed;0;23:20:52;;1970;114;EST;Leppik;Lauri;EST;Leppik;Lea
Young and Beautiful;superveteran;mixed;0;23:22:25;;1960;240;USA;Fillebrown;Sandy;USA;Gagarin;Peter
Mona Green;veteran;mixed;0;23:22:26;;1960;296;LAT;Zalaiskalna;Velga;LAT;Zalaiskalns;Maris
