id,status,age,gender,member1country,member1firstname,member1lastname,member2country,member2firstname,member2lastname,member3country,member3firstname,member3lastname,score,time,penalty
1,,open,men,EST,RAIN,SEEPÕLD,EST,TIMMO,TAMMEMÄE,,,,414,23:55:22,0
2,,open,men,NZL,TANE,CAMBRIDGE,NZL,Timothy,Farrant,,,,409,23:50:56,0
3,,veteran,men,CZE,Radovan,Čech,CZE,Ondřej,Skripnik,,,,403,23:49:00,0
4,,open,men,LAT,Janis,Krumins,LAT,Andris,Ansabergs,,,,400,23:43:07,0
5,,open,men,ITA,SAMUELE,CURZIO,ITA,ALESSIO,TENANI,,,,396,23:54:14,0
6,,veteran,men,RUS,SERGEY,KONSTANTINOV,RUS,OLEG,KALININ,,,,388,23:59:00,0
7,,open,men,ITA,ANDREA,VILLA,ITA,EMILIANO,CORONA,,,,384,23:45:27,0
8,,open,men,LAT,ALBERTS,JASĀNS,LAT,ZIGMUNDS,BĪBERS,,,,382,23:37:28,0
9,,veteran,men,EST,AIN,FJODOROV,EST,RAIT,PALLO,,,,375,23:49:17,0
10,,open,mixed,UKR,Yevgeniy,Tsyren,UKR,Artem,Gorodynets,UKR,Polina,Zakharova,363,23:41:42,0
11,,veteran,men,GBR,PETER,JAMES,GBR,TOM,GIBBS,,,,361,23:37:54,0
12,,open,men,RUS,IGOR,MANZHAY,RUS,SEMYON,YAKIMOV,,,,360,23:37:10,0
13,,open,men,EST,SANDER,MIRME,EST,LEIVO,SEPP,,,,358,23:46:13,0
14,,veteran,men,FRA,FRANÇOIS,PLAGNOL,FRA,BENOIT,COCHEY,,,,357,23:39:00,0
15,,open,men,RSA,RYNO,GRIESEL,RSA,NICHOLAS,MULDER,,,,356,23:55:03,0
16,,open,men,UKR,OLEKSANDR,DMYTRUK,UKR,DMYTRO,KOSYTSIN,UKR,MAKSYM,KRASNOPOLSKYI,351,23:45:10,0
17,,veteran,mixed,AUS,JULIE,QUINN,AUS,DAVID,BALDWIN,,,,349,23:44:45,0
18,,open,mixed,RUS,KONSTANTIN,IVANOV,RUS,Dmitriy,Panov,RUS,Anna,Korobko,346,23:52:21,0
19,,open,women,RUS,MARIA,PLYASHECHKO,RUS,ANNA,BURLINOVA,,,,345,23:53:13,0
20,,open,mixed,PAR,Urtzi,Inglesias,ESP,Jon Ander,Arambalza,ESP,Amagoia,Legarra,342,23:51:21,0
21,,veteran,men,FIN,JUHA,SKINNARI,FIN,KAI,LANGEL,,,,342,23:51:46,0
22,,open,men,ESP,ALBERT,ROCA,ESP,DAVID,TARRÉS,,,,336,23:47:07,0
23,,veteran,men,CZE,JAN,KOTYK,CZE,MIROSLAV,SEIDL,,,,334,23:56:04,0
24,,open,men,ESP,AARON,GARMENDIA SANCHEZ,ESP,IMANOL,GARAIZABAL AGIRREGOMEZKORTA,,,,332,23:47:57,0
25,,open,mixed,CZE,ALEŠ,BALCAR,CZE,JANA,BALCAROVÁ,,,,327,23:38:35,0
26,,open,men,ESP,RUBEN,PÉREZ,ESP,JORGE JUAN,FERNÁNDEZ ZORITA,ESP,CARLOS,ALBARRAN ESTEBAN,326,23:55:47,0
27,,veteran,men,ESP,Eric,Colon,ESP,Jorge,Urquizu,ESP,Roberto,Pascual,325,23:52:39,0
28,,open,men,FRA,ALEXANDRE,BESSON,FRA,JOHANN,THOMAS,,,,324,23:58:14,0
29,,open,mixed,EST,ANNEKEN,LEMBERG,EST,TOOMAS,MARRANDI,,,,321,23:32:49,0
30,,veteran,mixed,LAT,VALTERS,KAMINSKIS,LAT,ANITA,LIEPINA,,,,319,23:51:52,0
31,,veteran,mixed,ESP,Jordi,Domenech,ESP,DANIEL,CASTELLÀ,ESP,BARBARA,MARTINEZ,317,23:46:58,0
32,,veteran,mixed,RUS,Alexander,Sheshukov,RUS,IRINA,BOREVICH,RUS,VIACHESLAV,SAVCHENKO,317,23:57:25,0
33,,veteran,men,EST,JAAK,VÄÄRSI,EST,LAURI,LAHTMÄE,,,,316,23:42:54,0
34,,veteran,mixed,LAT,IRITA,PUKITE,LAT,GUNTARS,MANKUS,,,,316,23:57:00,0
35,,open,men,NZL,SAM,WALTON,NZL,SAM,EAMES,,,,315,23:27:03,0
36,,open,mixed,ESP,BEÑAT,ARRATIBEL ELIZEGI,ESP,ARITZ,UGARTE MUNDUATE,ESP,OIHANA,ARRATIBEL ELIZEGI,311,23:37:45,0
37,,open,men,FRA,MAXIME,GAUDUIN,FRA,LUCAS,BAPTISTE,,,,308,22:15:36,0
38,,open,men,UKR,MYKOLA,HOIENKO,UKR,ANTON,PUHOVKIN,,,,308,23:51:28,0
39,,open,women,EST,PIIBE,TAMMEMÄE,EST,ELERI,HIRV,,,,307,23:31:34,0
40,,open,men,LTU,TOMAS,JASINEVIČIUS,LTU,AUDRIUS,RUDYS,,,,304,23:38:59,0
41,,open,mixed,UKR,TARAS,MELNYK,UKR,ARTEM,SLOTIN,UKR,IRYNA,VOITOVYCH,304,23:46:41,0
42,,open,men,LAT,SANDIS,PETERSONS,LAT,DIDZIS,ROZENBERGS,,,,302,23:50:57,0
43,,open,men,LAT,MĀRTIŅŠ,KRŪZE,LAT,GUNTIS,ŠMAUKSTELIS,,,,301,23:33:51,0
44,,open,men,FRA,ALEXIS,MOTTET,FRA,LUDOVIC,MAILLARD,,,,301,23:51:19,0
45,,veteran,men,AND,Ivan,Rossell,AND,Carles,Rossell,,,,298,23:29:12,0
46,,veteran,women,RUS,NINA,MIKHEEVA,RUS,MARINA,GALKINA,,,,297,23:50:04,0
47,,open,men,FRA,CEDRIC,PUJOS,FRA,LUDOVIC,ROCHETTE,,,,296,23:52:12,0
48,,veteran,mixed,NZL,Robert,Smith,NZL,Keri,Devine,,,,295,23:46:16,0
49,,open,women,RUS,Anastasia,Afanasyeva,RUS,Ekaterina,Menshova,,,,290,23:41:13,0
50,,veteran,men,LAT,INGUS,PORTNAJS,LAT,JĀNIS,VIŠKERS,LAT,EINĀRS,MASTEIKO,290,23:55:53,0
51,,veteran,mixed,LAT,AIGARS,ACTINS,LAT,ILZE,LAPINA,,,,288,23:51:42,0
52,,open,men,ESP,CARLOS,GORRIA CORRES,ESP,BORJA,DEL ESTAL OYARZABAL,,,,288,23:52:30,0
53,,superveteran,men,AUS,JONATHAN,WORSWICK,AUS,MIKE,HOTCHKIS,,,,286,23:51:54,0
54,,open,mixed,POL,BARTLOMIEJ,KARABIN,POL,URSZULA,ZIMNY,,,,285,23:26:26,0
